backend,taxa,sites,patterns,likelihood,time
OPENACC_GPU,100,100,100,-9916.299361683584721,0.324772182000000
OPENACC_GPU,100,1000,1000,-96759.044062635482987,0.268911017000000
OPENACC_GPU,100,10000,10000,-1012046.952337684342638,0.274963025000000
OPENACC_GPU,100,100000,100000,-9880658.263623952865601,0.366365983000000
OPENACC_GPU,100,1000000,1000000,-95674346.630611360073090,1.299459842000000
IQ-TREE_CPU,100,100,100,-6721.794,0.001
IQ-TREE_CPU,100,1000,1000,-65389.763,0.002
IQ-TREE_CPU,100,10000,10000,-683428.202,0.02
IQ-TREE_CPU,100,100000,100000,-6622230.822,0.197
IQ-TREE_CPU,100,1000000,1000000,-64844571.582,1.922
