backend,taxa,sites,patterns,likelihood,time
PROTOTYPE_GPU_V100,100,100,100,-15613.230243181140395,0.217475288000000
PROTOTYPE_GPU_V100,100,100,100,-15613.230243181140395,0.281656860000000
PROTOTYPE_GPU_V100,100,100,100,-15613.230243181140395,0.435538575000000
PROTOTYPE_GPU_V100,100,100,100,-15613.230243181140395,0.188970393000000
PROTOTYPE_GPU_V100,100,100,100,-15613.230243181140395,0.253048694000000
PROTOTYPE_GPU_V100,100,100,100,-15613.230243181140395,0.178414106000000
PROTOTYPE_GPU_V100,100,100,100,-15613.230243181140395,0.272991675000000
PROTOTYPE_GPU_V100,100,100,100,-15613.230243181140395,0.293642316000000
PROTOTYPE_GPU_V100,100,100,100,-15613.230243181140395,0.281454530000000
PROTOTYPE_GPU_V100,100,100,100,-15613.230243181140395,0.187261101000000
PROTOTYPE_GPU_V100,100,1000,1000,-161054.573219058045652,0.168231161000000
PROTOTYPE_GPU_V100,100,1000,1000,-161054.573219058045652,0.210865956000000
PROTOTYPE_GPU_V100,100,1000,1000,-161054.573219058045652,0.192136938000000
PROTOTYPE_GPU_V100,100,1000,1000,-161054.573219058045652,0.259245690000000
PROTOTYPE_GPU_V100,100,1000,1000,-161054.573219058045652,0.176834309000000
PROTOTYPE_GPU_V100,100,1000,1000,-161054.573219058045652,0.315131927000000
PROTOTYPE_GPU_V100,100,1000,1000,-161054.573219058045652,0.220201217000000
PROTOTYPE_GPU_V100,100,1000,1000,-161054.573219058045652,0.192601205000000
PROTOTYPE_GPU_V100,100,1000,1000,-161054.573219058045652,0.378539561000000
PROTOTYPE_GPU_V100,100,1000,1000,-161054.573219058045652,0.177761169000000
PROTOTYPE_GPU_V100,100,10000,10000,-1597939.261477210558951,0.200772778000000
PROTOTYPE_GPU_V100,100,10000,10000,-1597939.261477210558951,0.187256281000000
PROTOTYPE_GPU_V100,100,10000,10000,-1597939.261477210558951,0.227264492000000
PROTOTYPE_GPU_V100,100,10000,10000,-1597939.261477210558951,0.242485346000000
PROTOTYPE_GPU_V100,100,10000,10000,-1597939.261477210558951,0.242375732000000
PROTOTYPE_GPU_V100,100,10000,10000,-1597939.261477210558951,0.475207668000000
PROTOTYPE_GPU_V100,100,10000,10000,-1597939.261477210558951,0.268742102000000
PROTOTYPE_GPU_V100,100,10000,10000,-1597939.261477210558951,0.295903392000000
PROTOTYPE_GPU_V100,100,10000,10000,-1597939.261477210558951,0.178587396000000
PROTOTYPE_GPU_V100,100,10000,10000,-1597939.261477210558951,0.425036296000000
PROTOTYPE_GPU_V100,100,100000,100000,-15983780.143788537010550,0.583132076000000
PROTOTYPE_GPU_V100,100,100000,100000,-15983780.143788537010550,0.254435880000000
PROTOTYPE_GPU_V100,100,100000,100000,-15983780.143788537010550,0.291477083000000
PROTOTYPE_GPU_V100,100,100000,100000,-15983780.143788537010550,0.369377382000000
PROTOTYPE_GPU_V100,100,100000,100000,-15983780.143788537010550,0.269081569000000
PROTOTYPE_GPU_V100,100,100000,100000,-15983780.143788537010550,0.584239291000000
PROTOTYPE_GPU_V100,100,100000,100000,-15983780.143788537010550,0.253727544000000
PROTOTYPE_GPU_V100,100,100000,100000,-15983780.143788537010550,0.407394297000000
PROTOTYPE_GPU_V100,100,100000,100000,-15983780.143788537010550,0.378425554000000
