data_type,tree_type,model,backend,mean_walltime,median_walltime,std_walltime,mean_opt_time,n_runs,speedup
AA,rooted,JTT,OMP_10,35.72,38.44,4.58,34.42,100,6.61
AA,rooted,JTT,OMP_48,14.99,14.91,2.63,13.56,100,17.03
AA,rooted,JTT,OPENACC,27.63,25.26,3.4,24.65,71,10.05
AA,rooted,JTT,VANILA,256.58,253.98,33.38,253.53,20,1.0
AA,rooted,LG,OMP_10,37.42,39.14,4.05,36.14,100,7.32
AA,rooted,LG,OMP_48,15.81,15.42,2.6,14.36,100,18.59
AA,rooted,LG,OPENACC,29.66,31.37,3.13,26.72,70,9.14
AA,rooted,LG,VANILA,288.2,286.59,7.69,285.03,17,1.0
AA,rooted,Poisson,OMP_10,37.46,31.5,12.16,36.0,100,7.09
AA,rooted,Poisson,OMP_48,13.58,12.6,2.27,12.23,100,17.73
AA,rooted,Poisson,OPENACC,25.56,24.55,2.3,22.64,71,9.1
AA,rooted,Poisson,VANILA,223.37,223.44,1.76,220.35,20,1.0
AA,rooted,WAG,OMP_10,38.52,38.9,9.93,37.18,100,5.68
AA,rooted,WAG,OMP_48,14.91,14.72,2.65,13.51,100,15.0
AA,rooted,WAG,OPENACC,27.33,25.05,3.21,24.44,69,8.81
AA,rooted,WAG,VANILA,224.42,220.8,10.19,221.46,20,1.0
AA,unrooted,JTT,OMP_10,32.59,30.26,4.05,31.22,100,8.12
AA,unrooted,JTT,OMP_48,14.11,13.09,2.67,12.72,100,18.76
AA,unrooted,JTT,OPENACC,26.02,24.12,3.05,23.17,73,10.18
AA,unrooted,JTT,VANILA,244.47,245.62,31.94,241.71,20,1.0
AA,unrooted,LG,OMP_10,40.6,38.56,9.58,39.26,100,6.49
AA,unrooted,LG,OMP_48,15.46,15.02,2.4,14.03,100,16.66
AA,unrooted,LG,OPENACC,29.86,30.6,2.43,26.95,137,8.18
AA,unrooted,LG,VANILA,251.79,250.29,33.78,248.78,20,1.0
AA,unrooted,Poisson,OMP_10,32.23,30.38,3.71,30.88,100,7.19
AA,unrooted,Poisson,OMP_48,13.67,12.53,2.36,12.3,100,17.43
AA,unrooted,Poisson,OPENACC,25.95,24.24,3.02,23.06,72,9.01
AA,unrooted,Poisson,VANILA,217.61,218.44,2.73,214.69,20,1.0
AA,unrooted,WAG,OMP_10,38.44,38.27,7.84,37.06,100,7.42
AA,unrooted,WAG,OMP_48,15.59,14.94,2.7,14.13,100,19.01
AA,unrooted,WAG,OPENACC,29.66,30.53,2.33,26.8,70,9.3
AA,unrooted,WAG,VANILA,283.08,283.97,3.99,280.07,19,1.0
DNA,rooted,GTR,OMP_10,45.6,39.43,19.78,44.45,100,3.43
DNA,rooted,GTR,OMP_48,17.21,16.57,4.05,16.1,100,8.16
DNA,rooted,GTR,OPENACC,60.94,51.16,20.23,58.17,40,2.64
DNA,rooted,GTR,VANILA,178.69,135.21,72.43,176.04,30,1.0
DNA,rooted,HKY,OMP_10,22.58,24.22,6.47,21.44,100,3.08
DNA,rooted,HKY,OMP_48,9.64,9.72,1.89,8.59,100,7.67
DNA,rooted,HKY,OPENACC,41.03,39.22,2.77,38.22,50,1.9
DNA,rooted,HKY,VANILA,74.78,74.52,5.93,72.08,70,1.0
DNA,rooted,JC,OMP_10,10.46,10.56,2.05,9.4,100,3.23
DNA,rooted,JC,OMP_48,4.7,4.59,0.75,3.73,100,7.42
DNA,rooted,JC,OPENACC,29.87,31.59,2.97,27.19,70,1.08
DNA,rooted,JC,VANILA,34.18,34.06,3.41,31.57,100,1.0
DNA,rooted,K2P,OMP_10,21.36,19.28,5.88,20.21,100,3.86
DNA,rooted,K2P,OMP_48,9.38,9.24,2.06,8.25,100,8.05
DNA,rooted,K2P,OPENACC,42.15,43.47,3.04,39.48,50,1.71
DNA,rooted,K2P,VANILA,74.5,74.39,4.83,71.98,64,1.0
DNA,unrooted,GTR,OMP_10,38.11,34.24,14.92,36.91,100,3.56
DNA,unrooted,GTR,OMP_48,16.18,15.05,4.1,15.06,100,8.11
DNA,unrooted,GTR,OPENACC,50.17,49.36,6.57,47.37,90,2.47
DNA,unrooted,GTR,VANILA,133.02,122.0,22.93,130.28,40,1.0
DNA,unrooted,HKY,OMP_10,19.29,17.08,5.3,18.15,100,4.38
DNA,unrooted,HKY,OMP_48,9.26,9.32,1.49,8.17,100,8.03
DNA,unrooted,HKY,OPENACC,40.49,38.59,3.35,37.67,51,1.94
DNA,unrooted,HKY,VANILA,75.28,74.82,6.25,72.53,67,1.0
DNA,unrooted,JC,OMP_10,8.44,7.65,3.26,7.37,100,4.28
DNA,unrooted,JC,OMP_48,4.77,4.59,1.12,3.74,100,7.14
DNA,unrooted,JC,OPENACC,27.77,26.04,2.75,25.13,70,1.26
DNA,unrooted,JC,VANILA,33.27,32.78,3.51,30.65,100,1.0
DNA,unrooted,K2P,OMP_10,20.58,18.65,9.26,19.39,100,3.99
DNA,unrooted,K2P,OMP_48,8.86,8.81,1.59,7.85,100,8.45
DNA,unrooted,K2P,OPENACC,38.62,38.07,1.94,35.96,59,1.96
DNA,unrooted,K2P,VANILA,75.28,74.44,2.84,72.7,67,1.0
