data_type,tree_type,model,tree,backend,run,walltime,cputime,log_likelihood,tree_length,opt_time,kernel
AA,rooted,JTT,tree_1,OMP_10,1,38.699,367.692,-95461509.831,21.479,37.463,AVX+FMA - 10 threads (10 CPU cores detected)
AA,rooted,JTT,tree_1,OPENACC,7,30.786,30.423,-95461509.831,21.479,27.919,GPU - 1 threads
AA,rooted,JTT,tree_1,OPENACC,9,31.316,30.921,-95461509.831,21.479,28.451,GPU - 1 threads
AA,rooted,JTT,tree_1,VANILA,4,292.749,285.89,-95461509.831,21.479,289.732,AVX+FMA - 1 threads (1 CPU cores detected)
AA,rooted,JTT,tree_1,OMP_48,3,17.529,643.733,-95461509.831,21.479,16.303,AVX+FMA - 48 threads (48 CPU cores detected)
AA,rooted,JTT,tree_1,VANILA,7,281.754,275.23,-95461509.831,21.479,278.992,AVX+FMA - 1 threads (1 CPU cores detected)
AA,rooted,JTT,tree_1,VANILA,9,281.143,274.275,-95461509.831,21.479,278.363,AVX+FMA - 1 threads (1 CPU cores detected)
AA,rooted,JTT,tree_1,OMP_10,6,40.561,354.749,-95461509.831,21.479,38.974,AVX+FMA - 10 threads (10 CPU cores detected)
AA,rooted,JTT,tree_1,OPENACC,4,32.405,31.962,-95461509.831,21.479,29.249,GPU - 1 threads
AA,rooted,JTT,tree_1,OMP_10,9,41.481,395.269,-95461509.831,21.479,40.162,AVX+FMA - 10 threads (10 CPU cores detected)
AA,rooted,JTT,tree_1,OMP_48,4,16.131,628.411,-95461509.831,21.479,14.884,AVX+FMA - 48 threads (48 CPU cores detected)
AA,rooted,JTT,tree_1,OMP_48,2,16.123,633.18,-95461509.831,21.479,14.9,AVX+FMA - 48 threads (48 CPU cores detected)
AA,rooted,JTT,tree_1,VANILA,1,284.236,277.4,-95461509.831,21.479,281.147,AVX+FMA - 1 threads (1 CPU cores detected)
AA,rooted,JTT,tree_1,OPENACC,2,30.759,30.432,-95461509.831,21.479,27.91,GPU - 1 threads
AA,rooted,JTT,tree_1,OMP_48,5,15.687,637.136,-95461509.831,21.479,14.274,AVX+FMA - 48 threads (48 CPU cores detected)
AA,rooted,JTT,tree_1,OPENACC,1,31.245,30.838,-95461509.831,21.479,28.359,GPU - 1 threads
AA,rooted,JTT,tree_1,OMP_10,8,38.804,369.035,-95461509.831,21.479,37.572,AVX+FMA - 10 threads (10 CPU cores detected)
AA,rooted,JTT,tree_1,VANILA,10,289.664,282.19,-95461509.831,21.479,286.522,AVX+FMA - 1 threads (1 CPU cores detected)
AA,rooted,JTT,tree_1,VANILA,2,292.68,285.951,-95461509.831,21.479,289.531,AVX+FMA - 1 threads (1 CPU cores detected)
AA,rooted,JTT,tree_1,OMP_10,7,38.807,369.414,-95461509.831,21.479,37.582,AVX+FMA - 10 threads (10 CPU cores detected)
AA,rooted,JTT,tree_1,OMP_48,6,16.486,640.455,-95461509.831,21.479,15.209,AVX+FMA - 48 threads (48 CPU cores detected)
AA,rooted,JTT,tree_1,VANILA,3,290.901,284.243,-95461509.831,21.479,287.764,AVX+FMA - 1 threads (1 CPU cores detected)
AA,rooted,JTT,tree_1,OMP_48,9,14.88,621.161,-95461509.831,21.479,13.527,AVX+FMA - 48 threads (48 CPU cores detected)
AA,rooted,JTT,tree_1,OMP_10,4,39.354,370.166,-95461509.831,21.479,38.083,AVX+FMA - 10 threads (10 CPU cores detected)
AA,rooted,JTT,tree_1,OMP_48,1,20.495,668.605,-95461509.831,21.479,19.148,AVX+FMA - 48 threads (48 CPU cores detected)
AA,rooted,JTT,tree_1,OPENACC,3,36.236,31.559,-95461509.831,21.479,28.948,GPU - 1 threads
AA,rooted,JTT,tree_1,OMP_10,3,38.94,369.351,-95461509.831,21.479,37.649,AVX+FMA - 10 threads (10 CPU cores detected)
AA,rooted,JTT,tree_1,OMP_10,5,38.948,370.252,-95461509.831,21.479,37.638,AVX+FMA - 10 threads (10 CPU cores detected)
AA,rooted,JTT,tree_1,OMP_48,8,19.385,647.25,-95461509.831,21.479,17.926,AVX+FMA - 48 threads (48 CPU cores detected)
AA,rooted,JTT,tree_1,VANILA,8,289.854,283.139,-95461509.831,21.479,287.139,AVX+FMA - 1 threads (1 CPU cores detected)
AA,rooted,JTT,tree_1,VANILA,6,292.23,285.36,-95461509.831,21.479,289.439,AVX+FMA - 1 threads (1 CPU cores detected)
AA,rooted,JTT,tree_1,OPENACC,10,31.591,31.195,-95461509.831,21.479,28.669,GPU - 1 threads
AA,rooted,JTT,tree_1,OPENACC,5,31.305,30.91,-95461509.831,21.479,28.362,GPU - 1 threads
AA,rooted,JTT,tree_1,OMP_48,7,20.248,671.852,-95461509.831,21.479,18.89,AVX+FMA - 48 threads (48 CPU cores detected)
AA,rooted,JTT,tree_1,OMP_10,10,41.945,397.717,-95461509.831,21.479,40.565,AVX+FMA - 10 threads (10 CPU cores detected)
AA,rooted,JTT,tree_1,OMP_10,2,38.994,370.598,-95461509.831,21.479,37.716,AVX+FMA - 10 threads (10 CPU cores detected)
AA,rooted,JTT,tree_1,OPENACC,8,31.165,30.776,-95461509.831,21.479,28.281,GPU - 1 threads
AA,rooted,JTT,tree_1,OPENACC,6,31.883,31.494,-95461509.831,21.479,28.887,GPU - 1 threads
AA,rooted,JTT,tree_1,OMP_48,10,20.29,657.973,-95461509.831,21.479,18.922,AVX+FMA - 48 threads (48 CPU cores detected)
AA,rooted,JTT,tree_1,VANILA,5,293.849,286.061,-95461509.831,21.479,290.236,AVX+FMA - 1 threads (1 CPU cores detected)
AA,rooted,JTT,tree_10,OMP_48,6,17.107,671.496,-90714872.763,20.275,15.623,AVX+FMA - 48 threads (48 CPU cores detected)
AA,rooted,JTT,tree_10,OMP_10,6,38.183,352.567,-90714872.763,20.275,36.69,AVX+FMA - 10 threads (10 CPU cores detected)
AA,rooted,JTT,tree_10,OMP_10,10,40.484,384.305,-90714872.763,20.275,39.132,AVX+FMA - 10 threads (10 CPU cores detected)
AA,rooted,JTT,tree_10,OMP_48,1,15.817,643.691,-90714872.763,20.275,14.43,AVX+FMA - 48 threads (48 CPU cores detected)
AA,rooted,JTT,tree_10,OMP_48,7,15.213,619.094,-90714872.763,20.275,13.757,AVX+FMA - 48 threads (48 CPU cores detected)
AA,rooted,JTT,tree_10,OMP_10,1,39.074,370.277,-90714872.763,20.275,37.815,AVX+FMA - 10 threads (10 CPU cores detected)
AA,rooted,JTT,tree_10,OMP_10,7,38.932,370.074,-90714872.763,20.275,37.723,AVX+FMA - 10 threads (10 CPU cores detected)
AA,rooted,JTT,tree_10,OMP_48,4,15.939,629.94,-90714872.763,20.275,14.694,AVX+FMA - 48 threads (48 CPU cores detected)
AA,rooted,JTT,tree_10,OMP_48,2,16.747,678.868,-90714872.763,20.275,15.269,AVX+FMA - 48 threads (48 CPU cores detected)
AA,rooted,JTT,tree_10,OMP_48,8,15.248,626.199,-90714872.763,20.275,13.797,AVX+FMA - 48 threads (48 CPU cores detected)
AA,rooted,JTT,tree_10,OMP_48,10,18.9,628.814,-90714872.763,20.275,17.555,AVX+FMA - 48 threads (48 CPU cores detected)
AA,rooted,JTT,tree_10,OMP_10,8,39.083,371.112,-90714872.763,20.275,37.827,AVX+FMA - 10 threads (10 CPU cores detected)
AA,rooted,JTT,tree_10,OMP_10,4,39.025,370.252,-90714872.763,20.275,37.696,AVX+FMA - 10 threads (10 CPU cores detected)
AA,rooted,JTT,tree_10,OMP_10,2,39.123,371.896,-90714872.763,20.275,37.872,AVX+FMA - 10 threads (10 CPU cores detected)
