data_type,tree_type,model,backend,walltime_mean,walltime_median,walltime_std,walltime_min,walltime_max,opt_time_mean,logl_mean,logl_std,tree_length_mean,n_runs
AA,rooted,JTT,OMP_10,35.724,38.441,4.576,30.174,45.581,34.42,-91112753.787,3380900.422,20.109,100
AA,rooted,JTT,OMP_48,14.987,14.914,2.63,11.465,20.91,13.559,-91112753.787,3380900.422,20.109,100
AA,rooted,JTT,OPENACC,27.632,25.26,3.403,24.129,36.236,24.655,-90901435.516,3731874.535,20.051,71
AA,rooted,JTT,VANILA,256.579,253.979,33.38,218.896,293.849,253.529,-93215834.443,2304014.334,20.718,20
AA,rooted,LG,OMP_10,37.423,39.136,4.046,30.399,42.009,36.144,-85572235.459,5047285.013,18.966,100
AA,rooted,LG,OMP_48,15.807,15.424,2.599,11.481,21.014,14.363,-85572235.459,5047285.013,18.966,100
AA,rooted,LG,OPENACC,29.662,31.374,3.131,24.314,32.466,26.722,-84952913.007,5728469.592,18.689,70
AA,rooted,LG,VANILA,288.202,286.587,7.688,276.499,305.003,285.027,-85887417.572,646368.122,18.858,17
AA,rooted,Poisson,OMP_10,37.463,31.503,12.162,27.772,80.083,36.004,-105015466.667,3851163.261,19.725,100
AA,rooted,Poisson,OMP_48,13.578,12.604,2.268,11.337,20.463,12.234,-105015466.667,3851163.261,19.725,100
AA,rooted,Poisson,OPENACC,25.558,24.554,2.302,23.944,31.841,22.643,-104684653.811,4193809.266,19.659,71
AA,rooted,Poisson,VANILA,223.37,223.444,1.76,218.653,226.236,220.349,-103244198.186,3766478.325,19.5,20
AA,rooted,WAG,OMP_10,38.518,38.902,9.934,29.88,103.042,37.177,-91319687.972,5543653.926,19.716,100
AA,rooted,WAG,OMP_48,14.911,14.72,2.654,11.47,20.831,13.512,-91319687.972,5543653.926,19.716,100
AA,rooted,WAG,OPENACC,27.334,25.047,3.205,24.043,31.973,24.443,-92619682.93,5957986.854,20.165,69
AA,rooted,WAG,VANILA,224.423,220.8,10.191,214.157,252.247,221.455,-93093367.095,7318328.47,20.059,20
AA,unrooted,JTT,OMP_10,32.586,30.262,4.046,27.807,40.414,31.217,-88315896.663,4015566.694,19.114,100
