data_type,model,backend,rooted,unrooted,rooted_overhead
AA,JTT,OMP_10,38.441,30.262,27.03
AA,JTT,OMP_48,14.913499999999999,13.087,13.96
AA,JTT,OPENACC,25.26,24.115,4.75
AA,JTT,VANILA,253.97949999999997,245.62150000000003,3.4
AA,LG,OMP_10,39.1365,38.5585,1.5
AA,LG,OMP_48,15.4245,15.0195,2.7
AA,LG,OPENACC,31.374000000000002,30.599,2.53
AA,LG,VANILA,286.587,250.29000000000002,14.5
AA,Poisson,OMP_10,31.503,30.384999999999998,3.68
AA,Poisson,OMP_48,12.6035,12.528500000000001,0.6
AA,Poisson,OPENACC,24.554,24.238,1.3
AA,Poisson,VANILA,223.4435,218.4405,2.29
AA,WAG,OMP_10,38.902,38.266,1.66
AA,WAG,OMP_48,14.719999999999999,14.936499999999999,-1.45
AA,WAG,OPENACC,25.047,30.529,-17.96
AA,WAG,VANILA,220.7995,283.972,-22.25
DNA,GTR,OMP_10,39.427499999999995,34.237,15.16
DNA,GTR,OMP_48,16.5655,15.054,10.04
DNA,GTR,OPENACC,51.158,49.3565,3.65
DNA,GTR,VANILA,135.20999999999998,121.995,10.83
DNA,HKY,OMP_10,24.2175,17.076500000000003,41.82
DNA,HKY,OMP_48,9.715,9.3235,4.2
DNA,HKY,OPENACC,39.224999999999994,38.593,1.64
DNA,HKY,VANILA,74.5175,74.822,-0.41
DNA,JC,OMP_10,10.5595,7.649,38.05
DNA,JC,OMP_48,4.5935,4.5885,0.11
DNA,JC,OPENACC,31.59,26.042,21.3
DNA,JC,VANILA,34.063,32.7845,3.9
DNA,K2P,OMP_10,19.279,18.652,3.36
DNA,K2P,OMP_48,9.2375,8.809999999999999,4.85
DNA,K2P,OPENACC,43.4725,38.068,14.2
DNA,K2P,VANILA,74.3885,74.44,-0.07
