backend,,,speedup_OMP_10,speedup_OMP_10,speedup_OMP_10,speedup_OMP_10,speedup_OMP_48,speedup_OMP_48,speedup_OMP_48,speedup_OMP_48,speedup_OPENACC,speedup_OPENACC,speedup_OPENACC,speedup_OPENACC
,,,mean,median,min,max,mean,median,min,max,mean,median,min,max
data_type,tree_type,model,,,,,,,,,,,,
AA,rooted,JTT,7.34,7.34,7.22,7.45,17.95,17.95,17.07,18.82,9.18,9.18,9.08,9.27
AA,rooted,LG,7.35,7.35,7.34,7.36,18.09,18.09,17.93,18.25,9.1,9.1,9.09,9.11
AA,rooted,Poisson,7.18,7.18,7.08,7.28,18.05,18.05,17.89,18.22,9.15,9.15,9.07,9.22
AA,rooted,WAG,6.98,6.98,6.94,7.03,18.32,18.32,18.21,18.43,9.01,9.01,8.88,9.13
AA,unrooted,JTT,7.38,7.38,7.13,7.64,18.09,18.09,17.78,18.39,8.97,8.97,8.89,9.05
AA,unrooted,LG,7.39,7.39,7.38,7.41,18.95,18.95,18.94,18.95,9.18,9.18,9.17,9.2
AA,unrooted,Poisson,7.43,7.43,7.43,7.43,17.91,17.91,17.78,18.04,9.09,9.09,9.09,9.09
AA,unrooted,WAG,7.42,7.42,7.38,7.47,18.9,18.9,18.65,19.15,9.38,9.38,9.38,9.38
DNA,rooted,GTR,2.99,3.08,2.81,3.08,8.73,8.84,7.07,10.29,2.62,2.64,2.32,2.91
DNA,rooted,HKY,3.44,3.03,2.61,4.52,8.16,7.93,6.36,9.86,1.81,1.78,1.71,1.93
DNA,rooted,JC,3.28,3.27,2.77,4.22,7.57,7.39,6.57,8.78,1.17,1.16,1.14,1.19
DNA,rooted,K2P,3.42,3.08,2.9,4.01,8.58,9.37,6.48,10.11,1.79,1.78,1.71,1.87
DNA,unrooted,GTR,4.3,4.55,3.5,4.62,8.84,8.87,8.04,9.59,2.63,2.64,2.46,2.79
DNA,unrooted,HKY,4.07,4.51,3.21,4.91,8.17,7.93,7.16,9.53,1.9,1.89,1.8,2.04
DNA,unrooted,JC,4.42,4.14,3.45,5.54,7.41,7.22,6.53,8.46,1.18,1.18,1.16,1.19
DNA,unrooted,K2P,4.08,4.23,3.15,4.73,9.22,9.36,7.62,10.51,1.95,1.95,1.85,2.08
