data_type,model,backend,mean_walltime,median_walltime,std_walltime,mean_opt_time,n_runs,speedup_vs_1core,speedup_vs_gpu_base
AA,LG,GPU_OPT,29.49,30.25,2.33,26.59,70,8.27,1.01
AA,LG,OMP_10,40.6,38.56,9.58,39.26,100,6.49,0.79
AA,LG,OMP_48,15.46,15.02,2.4,14.03,100,16.66,2.04
AA,LG,OPENACC,29.86,30.6,2.43,26.95,137,8.18,1.0
AA,LG,VANILA,251.79,250.29,33.78,248.78,20,1.0,0.12
DNA,GTR,GPU_OPT,48.68,48.26,5.99,45.92,50,2.53,1.02
DNA,GTR,OMP_10,38.11,34.24,14.92,36.91,100,3.56,1.44
DNA,GTR,OMP_48,16.18,15.05,4.1,15.06,100,8.11,3.28
DNA,GTR,OPENACC,50.17,49.36,6.57,47.37,90,2.47,1.0
DNA,GTR,VANILA,133.02,122.0,22.93,130.28,40,1.0,0.4
