data_type,model,tree,OPENACC,GPU_OPT,gpu_improvement_pct
AA,LG,tree_1,30.907,30.624499999999998,0.91
AA,LG,tree_2,24.025,23.865499999999997,0.66
AA,LG,tree_3,30.7055,30.419,0.93
AA,LG,tree_4,30.695999999999998,30.387999999999998,1.0
AA,LG,tree_5,30.384500000000003,30.118499999999997,0.88
AA,LG,tree_6,30.822000000000003,30.4825,1.1
AA,LG,tree_7,30.323,30.052500000000002,0.89
DNA,GTR,tree_1,44.415499999999994,43.038,3.1
DNA,GTR,tree_2,50.025499999999994,48.700500000000005,2.65
DNA,GTR,tree_3,44.286500000000004,43.153,2.56
DNA,GTR,tree_4,61.207,58.9905,3.62
DNA,GTR,tree_5,49.802,48.934,1.74
