data_type,model,tree,GPU_MAXREG,GPU_P5,GPU_P6,OMP_10,OMP_48,OPENACC,VANILA,speedup_OMP_10,speedup_OMP_48,speedup_OPENACC,speedup_GPU_MAXREG,speedup_GPU_P5,speedup_GPU_P6,speedup_p6_vs_OPENACC,speedup_p6_vs_GPU_MAXREG,speedup_p6_vs_GPU_P5
AA,LG,tree_1,30.624499999999998,18.458,18.5095,38.3865,15.009,30.907,284.3415,7.407330702199992,18.944733160103937,9.199906170123272,9.284771996277492,15.404783833568102,15.36192225613874,1.6697911883087064,1.6545287555039303,0.9972176449931116
AA,LG,tree_10,,18.418,18.432,38.331999999999994,16.192,,,,,,,,,,,0.999240451388889
AA,LG,tree_2,23.865499999999997,15.027000000000001,15.09,29.863500000000002,11.6225,24.025,220.262,7.375625763892376,18.951344375134436,9.168033298647243,9.22930590182481,14.657749384441338,14.596554009277668,1.5921139827700463,1.5815440689198144,0.9958250497017893
AA,LG,tree_3,30.419,18.3435,18.3915,39.562,15.6555,30.7055,,,,,,,,1.6695484326998886,1.6539705842372836,0.9973900986868933
AA,LG,tree_4,30.387999999999998,18.445500000000003,18.4705,39.534,15.0835,30.695999999999998,,,,,,,,1.6618932892991525,1.6452180504046992,0.9986464903494763
AA,LG,tree_5,30.118499999999997,18.176000000000002,18.194499999999998,38.6345,17.238,30.384500000000003,,,,,,,,1.669982687075765,1.6553628843881394,0.9989832092115751
AA,LG,tree_6,30.4825,18.264499999999998,18.2665,39.930499999999995,15.173,30.822000000000003,,,,,,,,1.6873511619631567,1.668765225960091,0.9998905099499081
AA,LG,tree_7,30.052500000000002,18.227,18.2505,38.126,15.6145,30.323,,,,,,,,1.661488726336265,1.6466672145968606,0.9987123640448208
AA,LG,tree_8,,18.284,18.272,38.04,15.190000000000001,,,,,,,,,,,1.0006567425569177
AA,LG,tree_9,,15.104,15.1435,30.955,12.432500000000001,,,,,,,,,,,0.9973916201670684
DNA,GTR,tree_1,43.038,21.5275,28.363,25.598,12.8715,44.415499999999994,117.0055,4.570884444097195,9.09027696849629,2.6343393635104864,2.7186556066731726,5.435164324700964,4.1252864647604275,1.5659662236011704,1.5173994288333392,0.7589994006275782
DNA,GTR,tree_10,,,30.899,38.7815,11.902000000000001,,,,,,,,,,,
DNA,GTR,tree_2,48.700500000000005,23.6875,30.807000000000002,26.677,12.8445,50.025499999999994,123.156,4.616561082580501,9.58822842461754,2.461864449130944,2.528844673052638,5.1991978891820585,3.9976628688285127,1.623835491933651,1.5808257863472588,0.7688999253416431
DNA,GTR,tree_3,43.153,21.3185,28.05,25.8545,13.541,44.286500000000004,117.06049999999999,4.527664429789785,8.644893287054131,2.643254716448579,2.7126850972122445,5.4910289185449255,4.173279857397504,1.5788413547237077,1.5384313725490195,0.760017825311943
DNA,GTR,tree_4,58.9905,28.407,38.19,48.7575,21.234,61.207,170.8125,3.503307183510229,8.044292172930206,2.7907347198849806,2.8955933582526003,6.013042559932411,4.472702278083268,1.6026970411102384,1.5446582875098194,0.7438334642576592
DNA,GTR,tree_5,48.934,23.450000000000003,30.003999999999998,26.6705,13.486,49.802,,,,,,,,1.6598453539528064,1.630915877882949,0.7815624583388883
DNA,GTR,tree_6,,26.6155,36.794,34.8265,21.189,,,,,,,,,,,0.7233652225906398
DNA,GTR,tree_7,,23.5745,29.9765,27.052999999999997,14.7925,,,,,,,,,,,0.7864327056194018
DNA,GTR,tree_8,,31.752,45.637,65.904,19.644,,,,,,,,,,,0.6957512544645792
DNA,GTR,tree_9,,,47.435,46.176,21.804000000000002,,,,,,,,,,,
