data_type,model,backend,mean_walltime,median_walltime,std_walltime,mean_opt_time,mean_logl,mean_tree_length,n_runs,speedup_vs_1core,speedup_vs_gpu_base,speedup_vs_P5,speedup_vs_P6
AA,LG,GPU_MAXREG,29.49,30.25,2.33,26.59,-87470599.18,19.72,70,8.27,1.01,0.6,0.61
AA,LG,GPU_P5,17.67,18.29,1.31,14.8,-86324112.64,19.35,99,13.68,1.67,1.0,1.0
AA,LG,GPU_P6,17.71,18.31,1.31,14.85,-86328013.8,19.35,100,13.67,1.67,1.0,1.0
AA,LG,GPU_P6_FIX,17.67,18.28,1.32,14.78,-86320131.87,19.35,98,13.69,1.67,1.0,1.0
AA,LG,OMP_10,40.6,38.56,9.58,39.26,-86328013.8,19.35,100,6.49,0.79,0.47,0.47
AA,LG,OMP_48,15.46,15.02,2.4,14.03,-86328013.8,19.35,100,16.66,2.04,1.22,1.22
AA,LG,OPENACC,29.86,30.6,2.43,26.95,-87477966.39,19.72,137,8.18,1.0,0.6,0.6
AA,LG,VANILA,251.79,250.29,33.78,248.78,-89703067.78,20.13,20,1.0,0.12,0.07,0.07
DNA,GTR,GPU_MAXREG,48.68,48.26,5.99,45.92,-66837691.06,19.75,50,2.53,1.02,0.49,0.64
DNA,GTR,GPU_P5,25.05,23.62,3.41,22.24,-66557528.13,19.49,80,5.17,2.09,1.0,1.31
DNA,GTR,GPU_P6,34.6,30.84,6.79,31.8,-67437010.89,19.91,100,3.96,1.6,0.77,1.0
DNA,GTR,GPU_P6_FIX,25.07,23.63,3.4,22.27,-66557528.13,19.49,80,5.16,2.09,1.0,1.31
DNA,GTR,OMP_10,38.11,34.24,14.92,36.91,-67437010.89,19.91,100,3.56,1.44,0.69,0.9
DNA,GTR,OMP_48,16.18,15.05,4.1,15.06,-67437010.89,19.91,100,8.11,3.28,1.57,2.05
DNA,GTR,OPENACC,50.17,49.36,6.57,47.37,-66702448.22,19.7,90,2.47,1.0,0.48,0.62
DNA,GTR,VANILA,133.02,122.0,22.93,130.28,-66533394.68,19.65,40,1.0,0.4,0.19,0.25
