data_type,model,backend,walltime_median,opt_time_median,overhead_median,opt_pct_median,n,opt_speedup_vs_1core,opt_speedup_vs_cpu48,opt_speedup_vs_gpu_base
AA,LG,GPU_MAXREG,30.25,27.39,2.88,90.49,70,9.03,0.5,1.01
AA,LG,GPU_P5,18.29,15.4,2.86,84.28,99,16.06,0.88,1.8
AA,LG,GPU_P6,18.31,15.44,2.85,84.36,100,16.02,0.88,1.8
AA,LG,GPU_P6_FIX,18.28,15.38,2.89,84.17,98,16.08,0.88,1.8
AA,LG,OMP_10,38.56,37.32,1.28,96.72,100,6.63,0.36,0.74
AA,LG,OMP_48,15.02,13.59,1.39,90.5,100,18.2,1.0,2.04
AA,LG,OPENACC,30.6,27.73,2.88,90.58,137,8.92,0.49,1.0
AA,LG,VANILA,250.29,247.28,2.99,98.8,20,1.0,0.05,0.11
DNA,GTR,GPU_MAXREG,48.26,45.57,2.76,94.3,50,2.62,0.3,1.02
DNA,GTR,GPU_P5,23.62,20.81,2.8,88.19,80,5.73,0.65,2.24
DNA,GTR,GPU_P6,30.84,28.02,2.8,90.89,100,4.26,0.49,1.66
DNA,GTR,GPU_P6_FIX,23.63,20.85,2.78,88.35,80,5.72,0.65,2.24
DNA,GTR,OMP_10,34.24,33.17,1.08,96.21,100,3.6,0.41,1.41
DNA,GTR,OMP_48,15.05,13.61,1.1,92.48,100,8.76,1.0,3.43
DNA,GTR,OPENACC,49.36,46.63,2.77,94.37,90,2.56,0.29,1.0
DNA,GTR,VANILA,122.0,119.26,2.69,97.77,40,1.0,0.11,0.39
