data_type,model,tree,GPU_MAXREG,GPU_P5,GPU_P6,GPU_P6_FIX,OMP_10,OMP_48,OPENACC,VANILA,speedup_OMP_10,speedup_OMP_48,speedup_OPENACC,speedup_GPU_MAXREG,speedup_GPU_P5,speedup_GPU_P6,speedup_GPU_P6_FIX
AA,LG,tree_1,27.738,15.596499999999999,15.642,15.5775,37.1295,13.422,28.003999999999998,281.39300000000003,7.578690798421741,20.96505736849948,10.048314526496217,10.144675174850388,18.042060718751006,17.989579337680606,18.0640667629594
AA,LG,tree_10,,15.55,15.606,15.556000000000001,37.0835,14.16,,,,,,,,,
AA,LG,tree_2,20.968,12.157,12.2125,12.145,28.5415,10.401499999999999,21.1385,217.238,7.611302839724612,20.885256934096045,10.276888142488824,10.360454025181228,17.869375668339227,17.78816786079836,17.887031700288183
AA,LG,tree_3,27.511499999999998,15.4715,15.528500000000001,15.4675,38.244,14.2925,27.8285,,,,,,,,
AA,LG,tree_4,27.5175,15.560500000000001,15.620000000000001,15.553,38.2815,13.6175,27.825,,,,,,,,
AA,LG,tree_5,27.226,15.298,15.3345,15.282,37.345,15.9375,27.53,,,,,,,,
AA,LG,tree_6,27.6205,15.377,15.4235,15.3665,38.6875,13.882,27.9405,,,,,,,,
AA,LG,tree_7,27.161,15.3705,15.421,15.363,36.866,14.1175,27.452,,,,,,,,
AA,LG,tree_8,,15.4255,15.4635,15.408999999999999,36.8255,13.8975,,,,,,,,,
AA,LG,tree_9,,12.2605,12.303,12.2515,29.708,11.0715,,,,,,,,,
DNA,GTR,tree_1,40.2745,18.742,25.5515,18.753999999999998,24.2125,11.742,41.6475,114.279,4.719834796076407,9.73249872253449,2.7439582207815594,2.8375026381457245,6.097481592145982,4.472496722305931,6.093580036258932
DNA,GTR,tree_10,,,28.073,,37.708,10.872,,,,,,,,,
DNA,GTR,tree_2,45.924,20.886499999999998,27.98,20.902,25.644,11.738499999999998,47.227500000000006,120.4065,4.695308844174076,10.25740086041658,2.5494997617913286,2.6218643846354848,5.764800229813516,4.303305932809149,5.76052530858291
DNA,GTR,tree_3,40.414500000000004,18.508000000000003,25.242,18.5295,24.761000000000003,12.456,41.4985,114.34899999999999,4.6181091232179625,9.180234425176621,2.7554971866453,2.8294052877061446,6.1783553058137,4.530108549243324,6.171186486413557
DNA,GTR,tree_4,56.263999999999996,25.618,35.366,25.6655,47.6825,20.134,58.408,168.114,3.5256960100665866,8.349756630575147,2.8782700999863033,2.9879496658609415,6.562338980404403,4.753548606005769,6.550193839979739
DNA,GTR,tree_5,46.135000000000005,20.6445,27.183999999999997,20.679499999999997,25.531,12.399000000000001,47.042500000000004,,,,,,,,
DNA,GTR,tree_6,,23.8185,33.953,23.868000000000002,33.748999999999995,20.074,,,,,,,,,
DNA,GTR,tree_7,,20.772,27.157,20.798000000000002,25.9535,13.6,,,,,,,,,
DNA,GTR,tree_8,,28.936999999999998,42.822500000000005,28.9865,64.8485,18.46,,,,,,,,,
DNA,GTR,tree_9,,,44.650999999999996,,44.927,20.701999999999998,,,,,,,,,
