data_type,model,backend,mean_walltime,median_walltime,std_walltime,mean_opt_time,mean_logl,n_runs,speedup_vs_1core,speedup_vs_gpu_base
AA,LG,GPU_MAXREG,29.49,30.25,2.33,26.59,-87470599.18,70,8.27,1.01
AA,LG,GPU_TIP_STATE,17.67,18.29,1.31,14.8,-86324112.64,99,13.68,1.67
AA,LG,OMP_10,40.6,38.56,9.58,39.26,-86328013.8,100,6.49,0.79
AA,LG,OMP_48,15.46,15.02,2.4,14.03,-86328013.8,100,16.66,2.04
AA,LG,OPENACC,29.86,30.6,2.43,26.95,-87477966.39,137,8.18,1.0
AA,LG,VANILA,251.79,250.29,33.78,248.78,-89703067.78,20,1.0,0.12
DNA,GTR,GPU_MAXREG,48.68,48.26,5.99,45.92,-66837691.06,50,2.53,1.02
DNA,GTR,GPU_TIP_STATE,25.05,23.62,3.41,22.24,-66557528.13,80,5.17,2.09
DNA,GTR,OMP_10,38.11,34.24,14.92,36.91,-67437010.89,100,3.56,1.44
DNA,GTR,OMP_48,16.18,15.05,4.1,15.06,-67437010.89,100,8.11,3.28
DNA,GTR,OPENACC,50.17,49.36,6.57,47.37,-66702448.22,90,2.47,1.0
DNA,GTR,VANILA,133.02,122.0,22.93,130.28,-66533394.68,40,1.0,0.4
