data_type,model,tree,GPU_MAXREG,GPU_TIP_STATE,OMP_10,OMP_48,OPENACC,VANILA,diff_VANILA,diff_OMP_10,diff_OMP_48,diff_OPENACC,diff_GPU_MAXREG
AA,LG,tree_1,-88901422.374,-88901422.374,-88901422.374,-88901422.374,-88901422.374,-88901422.374,0.0,0.0,0.0,0.0,0.0
AA,LG,tree_10,,-86714228.485,-86714228.485,-86714228.485,,,,0.0,0.0,,
AA,LG,tree_2,-90504713.177,-90504713.177,-90504713.177,-90504713.177,-90504713.177,-90504713.177,0.0,0.0,0.0,0.0,0.0
AA,LG,tree_3,-87357001.171,-87357001.171,-87357001.171,-87357001.171,-87357001.171,,,0.0,0.0,0.0,0.0
AA,LG,tree_4,-87712627.079,-87712627.079,-87712627.079,-87712627.079,-87712627.079,,,0.0,0.0,0.0,0.0
AA,LG,tree_5,-86382770.364,-86382770.364,-86382770.364,-86382770.364,-86382770.364,,,0.0,0.0,0.0,0.0
AA,LG,tree_6,-84301496.968,-84301496.968,-84301496.968,-84301496.968,-84301496.968,,,0.0,0.0,0.0,0.0
AA,LG,tree_7,-87134163.126,-87134163.126,-87134163.126,-87134163.126,-87134163.126,,,0.0,0.0,0.0,0.0
AA,LG,tree_8,,-81931521.002,-81931521.002,-81931521.002,,,,0.0,0.0,,
AA,LG,tree_9,,-82340194.25,-82340194.25,-82340194.25,,,,0.0,0.0,,
DNA,GTR,tree_1,-64343405.643,-64343405.643,-64343405.643,-64343405.643,-64343405.643,-64343405.643,0.0,0.0,0.0,0.0,0.0
DNA,GTR,tree_10,,,-68972398.54,-68972398.54,,,,,,,
DNA,GTR,tree_2,-66217786.827,-66217786.827,-66217786.827,-66217786.827,-66217786.827,-66217786.827,0.0,0.0,0.0,0.0,0.0
DNA,GTR,tree_3,-66775543.576,-66775543.576,-66775543.576,-66775543.576,-66775543.576,-66775543.576,0.0,0.0,0.0,0.0,0.0
DNA,GTR,tree_4,-68796842.673,-68796842.673,-68796842.673,-68796842.673,-68796842.673,-68796842.673,0.0,0.0,0.0,0.0,0.0
DNA,GTR,tree_5,-68054876.562,-68054876.562,-68054876.562,-68054876.562,-68054876.562,,,0.0,0.0,0.0,0.0
DNA,GTR,tree_6,,-62743967.673,-62743967.673,-62743967.673,,,,0.0,0.0,,
DNA,GTR,tree_7,,-67994364.745,-67994364.745,-67994364.745,,,,0.0,0.0,,
DNA,GTR,tree_8,,-67533437.34,-67533437.34,-67533437.34,,,,0.0,0.0,,
DNA,GTR,tree_9,,,-72937485.322,-72937485.322,,,,,,,
