data_type,model,tree,GPU_MAXREG,GPU_TIP_STATE,OMP_10,OMP_48,OPENACC,VANILA,speedup_vs_1core_OMP_10,speedup_vs_1core_OMP_48,speedup_vs_1core_OPENACC,speedup_vs_1core_GPU_MAXREG,speedup_vs_1core_GPU_TIP_STATE,speedup_tip_vs_baseline,speedup_tip_vs_maxreg
AA,LG,tree_1,30.624499999999998,18.458,38.3865,15.009,30.907,284.3415,7.407330702199992,18.944733160103937,9.199906170123272,9.284771996277492,15.404783833568102,1.6744501029363963,1.6591450861415105
AA,LG,tree_10,,18.418,38.331999999999994,16.192,,,,,,,,,
AA,LG,tree_2,23.865499999999997,15.027000000000001,29.863500000000002,11.6225,24.025,220.262,7.375625763892376,18.951344375134436,9.168033298647243,9.22930590182481,14.657749384441338,1.59878884674253,1.5881746190190986
AA,LG,tree_3,30.419,18.3435,39.562,15.6555,30.7055,,,,,,,1.6739171913756918,1.658298579878431
AA,LG,tree_4,30.387999999999998,18.445500000000003,39.534,15.0835,30.695999999999998,,,,,,,1.6641457265999833,1.6474478870185136
AA,LG,tree_5,30.118499999999997,18.176000000000002,38.6345,17.238,30.384500000000003,,,,,,,1.6716824383802817,1.6570477552816898
AA,LG,tree_6,30.4825,18.264499999999998,39.930499999999995,15.173,30.822000000000003,,,,,,,1.6875359303567032,1.6689479591557395
AA,LG,tree_7,30.052500000000002,18.227,38.126,15.6145,30.323,,,,,,,1.6636308772699842,1.64879025621331
AA,LG,tree_8,,18.284,38.04,15.190000000000001,,,,,,,,,
AA,LG,tree_9,,15.104,30.955,12.432500000000001,,,,,,,,,
DNA,GTR,tree_1,43.038,21.5275,25.598,12.8715,44.415499999999994,117.0055,4.570884444097195,9.09027696849629,2.6343393635104864,2.7186556066731726,5.435164324700964,2.063198234815933,1.9992103123911276
DNA,GTR,tree_10,,,38.7815,11.902000000000001,,,,,,,,,
DNA,GTR,tree_2,48.700500000000005,23.6875,26.677,12.8445,50.025499999999994,123.156,4.616561082580501,9.58822842461754,2.461864449130944,2.528844673052638,5.1991978891820585,2.1118944591029023,2.055957783641161
DNA,GTR,tree_3,43.153,21.3185,25.8545,13.541,44.286500000000004,117.06049999999999,4.527664429789785,8.644893287054131,2.643254716448579,2.7126850972122445,5.4910289185449255,2.0773741116870323,2.024204329572906
DNA,GTR,tree_4,58.9905,28.407,48.7575,21.234,61.207,170.8125,3.503307183510229,8.044292172930206,2.7907347198849806,2.8955933582526003,6.013042559932411,2.154644981870666,2.076618439117119
DNA,GTR,tree_5,48.934,23.450000000000003,26.6705,13.486,49.802,,,,,,,2.123752665245202,2.086737739872068
DNA,GTR,tree_6,,26.6155,34.8265,21.189,,,,,,,,,
DNA,GTR,tree_7,,23.5745,27.052999999999997,14.7925,,,,,,,,,
DNA,GTR,tree_8,,31.752,65.904,19.644,,,,,,,,,
DNA,GTR,tree_9,,,46.176,21.804000000000002,,,,,,,,,
