data_type,tree_type,model,tree,backend,run,walltime,cputime,log_likelihood,tree_length,opt_time
AA,unrooted,LG,tree_1,GPU_P1,10,18.655678,18.276316,-88901466.9208,19.9427,
AA,unrooted,LG,tree_1,GPU_P1,1,18.556635,18.196526,-88901466.9208,19.9427,
AA,unrooted,LG,tree_1,GPU_P1,2,18.456762,18.085536,-88901466.9208,19.9427,
AA,unrooted,LG,tree_1,GPU_P1,3,18.527171,18.148409,-88901466.9208,19.9427,
AA,unrooted,LG,tree_1,GPU_P1,4,18.852656,18.390228,-88901466.9208,19.9427,
AA,unrooted,LG,tree_1,GPU_P1,5,18.576197,18.18525,-88901466.9208,19.9427,
AA,unrooted,LG,tree_1,GPU_P1,6,18.60294,18.226961,-88901466.9208,19.9427,
AA,unrooted,LG,tree_1,GPU_P1,7,18.480005,18.116599,-88901466.9208,19.9427,
AA,unrooted,LG,tree_1,GPU_P1,8,19.800984,18.280124,-88901466.9208,19.9427,
AA,unrooted,LG,tree_1,GPU_P1,9,18.879683,18.323896,-88901466.9208,19.9427,
AA,unrooted,LG,tree_10,GPU_P1,10,15.058625,14.683299,-86714281.6282,19.2055,
AA,unrooted,LG,tree_10,GPU_P1,1,14.871512,14.480791,-86714281.6282,19.2055,
AA,unrooted,LG,tree_10,GPU_P1,2,14.949881,14.586264,-86714281.6282,19.2055,
AA,unrooted,LG,tree_10,GPU_P1,3,14.990247,14.560827,-86714281.6282,19.2055,
AA,unrooted,LG,tree_10,GPU_P1,4,15.146125,14.648721,-86714281.6282,19.2055,
AA,unrooted,LG,tree_10,GPU_P1,5,14.885762,14.523453,-86714281.6282,19.2055,
AA,unrooted,LG,tree_10,GPU_P1,6,14.935076,14.588764,-86714281.6282,19.2055,
AA,unrooted,LG,tree_10,GPU_P1,7,15.00382,14.635114,-86714281.6282,19.2055,
AA,unrooted,LG,tree_10,GPU_P1,8,15.160658,14.568566,-86714281.6282,19.2055,
AA,unrooted,LG,tree_10,GPU_P1,9,15.031856,14.659218,-86714281.6282,19.2055,
AA,unrooted,LG,tree_2,GPU_P1,10,15.042012,14.671152,-90504760.7887,20.3161,
AA,unrooted,LG,tree_2,GPU_P1,1,15.047868,14.583815,-90504760.7887,20.3161,
AA,unrooted,LG,tree_2,GPU_P1,2,14.89318,14.509671,-90504760.7887,20.3161,
