data_type,model,backend,n_runs,walltime_mean,walltime_median,walltime_std,walltime_min,walltime_max,cputime_mean,opt_time_mean,opt_time_median,opt_time_std,loglik_mean,loglik_std,tree_length_mean
AA,LG,GPU_P1,100,15.685,15.011,1.419,14.792,19.801,15.261,,,,-86328064.4080,2605043.8228,19.3498
AA,LG,GPU_P5,99,17.671,18.286,1.312,14.970,18.545,17.315,14.799,15.397,1.313,-86324112.6412,2618006.9617,19.3522
AA,LG,GPU_P0,97,17.687,18.316,1.323,14.992,18.591,17.317,14.785,15.397,1.324,-86316069.0155,2644525.5317,19.3552
AA,LG,OMP_48,100,15.457,15.020,2.398,11.250,20.561,587.038,14.026,13.585,2.357,-86328013.7996,2605043.2687,19.3508
AA,LG,VANILA,20,251.787,250.290,33.784,212.665,291.329,245.106,248.778,247.279,33.832,-89703067.7755,822470.8280,20.1305
DNA,GTR,GPU_P1,80,25.390,21.379,7.527,20.045,43.361,25.028,,,,-66557577.9400,1944875.8642,19.4911
DNA,GTR,GPU_P5,80,25.050,23.621,3.414,21.213,31.858,24.706,22.236,20.808,3.404,-66557528.1299,1944873.7172,19.4895
DNA,GTR,GPU_P0,80,25.146,23.698,3.413,21.221,32.018,24.788,22.299,20.872,3.413,-66557528.1299,1944873.7172,19.4895
DNA,GTR,OMP_48,100,16.185,15.054,4.098,9.970,24.545,595.163,15.061,13.607,4.082,-67437010.8901,2633938.7575,19.9118
DNA,GTR,VANILA,40,133.017,121.995,22.931,111.904,177.733,130.412,130.275,119.261,22.909,-66533394.6797,1607473.9862,19.6483
