data_type,model,tree,P1_walltime_median,P1_walltime_mean,P1_walltime_std,P5_walltime_median,P5_opt_time_median,OMP48_walltime_median,OMP48_opt_time_median,speedup_P1_vs_P5_wall,speedup_P1_vs_OMP48_wall
AA,LG,tree_1,18.59,18.739,0.4,18.458,15.596,15.009,13.422,0.9929,0.8074
AA,LG,tree_10,14.997,15.003,0.099,18.418,15.55,16.192,14.16,1.2281,1.0797
AA,LG,tree_2,15.035,15.017,0.08,15.027,12.157,11.623,10.401,0.9995,0.7731
AA,LG,tree_3,14.861,14.903,0.094,18.343,15.472,15.655,14.293,1.2343,1.0535
AA,LG,tree_4,15.063,15.066,0.089,18.446,15.561,15.084,13.617,1.2245,1.0013
AA,LG,tree_5,14.843,14.888,0.115,18.176,15.298,17.238,15.938,1.2246,1.1614
AA,LG,tree_6,14.956,14.931,0.056,18.264,15.377,15.173,13.882,1.2212,1.0145
AA,LG,tree_7,18.164,18.219,0.174,18.227,15.37,15.614,14.117,1.0035,0.8596
AA,LG,tree_8,14.96,14.993,0.107,18.284,15.425,15.19,13.898,1.2222,1.0153
AA,LG,tree_9,15.063,15.088,0.095,15.104,12.261,12.433,11.072,1.0027,0.8254
DNA,GTR,tree_1,22.43,22.414,0.068,21.527,18.742,12.871,11.742,0.9598,0.5739
DNA,GTR,tree_2,20.364,20.326,0.088,23.688,20.886,12.845,11.738,1.1632,0.6307
DNA,GTR,tree_3,20.165,20.186,0.113,21.319,18.508,13.541,12.456,1.0572,0.6715
DNA,GTR,tree_4,29.09,29.065,0.091,28.407,25.618,21.234,20.134,0.9765,0.7299
DNA,GTR,tree_5,20.192,20.195,0.087,23.45,20.645,13.486,12.399,1.1613,0.6679
DNA,GTR,tree_6,27.545,27.544,0.08,26.616,23.819,21.189,20.074,0.9663,0.7692
DNA,GTR,tree_7,20.251,20.263,0.071,23.575,20.772,14.793,13.6,1.1641,0.7305
DNA,GTR,tree_8,43.094,43.126,0.114,31.752,28.937,19.644,18.46,0.7368,0.4558
