data_type,model,tree,GPU_P1_FIX,GPU_P5,OMP_10,OMP_48,VANILA,P1fix_minus_VANILA,P1fix_minus_OMP_10,P1fix_minus_OMP_48,P1fix_minus_GPU_P5
AA,LG,tree_1,-88901466.921,-88901422.374,-88901422.374,-88901422.374,-88901422.374,-44.547,-44.547,-44.547,-44.547
AA,LG,tree_10,-86714281.628,-86714228.485,-86714228.485,-86714228.485,,,-53.143,-53.143,-53.143
AA,LG,tree_2,-90504760.789,-90504713.177,-90504713.177,-90504713.177,-90504713.177,-47.612,-47.612,-47.612,-47.612
AA,LG,tree_3,-87357053.759,-87357001.171,-87357001.171,-87357001.171,,,-52.588,-52.588,-52.588
AA,LG,tree_4,-87712679.44,-87712627.079,-87712627.079,-87712627.079,,,-52.361,-52.361,-52.361
AA,LG,tree_5,-86382823.162,-86382770.364,-86382770.364,-86382770.364,,,-52.798,-52.798,-52.798
AA,LG,tree_6,-84301546.823,-84301496.968,-84301496.968,-84301496.968,,,-49.855,-49.855,-49.855
AA,LG,tree_7,-87134222.049,-87134163.126,-87134163.126,-87134163.126,,,-58.923,-58.923,-58.923
AA,LG,tree_8,-81931569.493,-81931521.002,-81931521.002,-81931521.002,,,-48.491,-48.491,-48.491
AA,LG,tree_9,-82340240.018,-82340194.25,-82340194.25,-82340194.25,,,-45.768,-45.768,-45.768
DNA,GTR,tree_1,-64343453.446,-64343405.643,-64343405.643,-64343405.643,-64343405.643,-47.803,-47.803,-47.803,-47.803
DNA,GTR,tree_10,,,-68972398.54,-68972398.54,,,,,
DNA,GTR,tree_2,-66217826.716,-66217786.827,-66217786.827,-66217786.827,-66217786.827,-39.889,-39.889,-39.889,-39.889
DNA,GTR,tree_3,-66775585.718,-66775543.576,-66775543.576,-66775543.576,-66775543.576,-42.142,-42.142,-42.142,-42.142
DNA,GTR,tree_4,-68796897.51,-68796842.673,-68796842.673,-68796842.673,-68796842.673,-54.837,-54.837,-54.837,-54.837
DNA,GTR,tree_5,-68054924.644,-68054876.562,-68054876.562,-68054876.562,,,-48.082,-48.082,-48.082
DNA,GTR,tree_6,-62744017.439,-62743967.673,-62743967.673,-62743967.673,,,-49.766,-49.766,-49.766
DNA,GTR,tree_7,-67994419.023,-67994364.745,-67994364.745,-67994364.745,,,-54.278,-54.278,-54.278
DNA,GTR,tree_8,-67533499.021,-67533437.34,-67533437.34,-67533437.34,,,-61.681,-61.681,-61.681
DNA,GTR,tree_9,,,-72937485.322,-72937485.322,,,,,
