data_type,model,tree,logl_min,logl_max,logl_range,tl_min,tl_max,tl_range
AA,LG,tree_1,-88901466.921,-88901422.374,44.547000005841255,19.943,19.949,0.006000000000000227
AA,LG,tree_10,-86714281.628,-86714228.485,53.14300000667572,19.206,19.208,0.0019999999999988916
AA,LG,tree_2,-90504760.789,-90504713.177,47.61200000345707,20.312,20.316,0.003999999999997783
AA,LG,tree_3,-87357053.759,-87357001.171,52.58799999952316,19.421,19.422,0.0010000000000012221
AA,LG,tree_4,-87712679.44,-87712627.079,52.36100000143051,20.388,20.39,0.0019999999999988916
AA,LG,tree_5,-86382823.162,-86382770.364,52.79800000786781,19.61,19.613,0.0030000000000001137
AA,LG,tree_6,-84301546.823,-84301496.968,49.855000004172325,18.587,18.591,0.004000000000001336
AA,LG,tree_7,-87134222.049,-87134163.126,58.92299999296665,19.77,19.771,0.0010000000000012221
AA,LG,tree_8,-81931569.493,-81931521.002,48.49099999666214,18.243,18.249,0.006000000000000227
AA,LG,tree_9,-82340240.018,-82340194.25,45.76800000667572,18.008,18.009,0.0010000000000012221
DNA,GTR,tree_1,-64343453.446,-64343405.643,47.80300000309944,18.844,18.846,0.0019999999999988916
DNA,GTR,tree_10,-68972398.54,-68972398.54,0.0,20.7,20.7,0.0
DNA,GTR,tree_2,-66217826.716,-66217786.827,39.88899999856949,19.418,19.42,0.0020000000000024443
DNA,GTR,tree_3,-66775585.718,-66775543.576,42.14200000464916,19.731,19.731,0.0
DNA,GTR,tree_4,-68796897.51,-68796842.673,54.837000012397766,20.6,20.601,0.0009999999999976694
DNA,GTR,tree_5,-68054924.644,-68054876.562,48.081999987363815,20.138,20.145,0.006999999999997897
DNA,GTR,tree_6,-62744017.439,-62743967.673,49.766000002622604,17.749,17.753,0.004000000000001336
DNA,GTR,tree_7,-67994419.023,-67994364.745,54.27799999713898,19.712,19.714,0.0019999999999988916
DNA,GTR,tree_8,-67533499.021,-67533437.34,61.680999994277954,19.72,19.722,0.0020000000000024443
DNA,GTR,tree_9,-72937485.322,-72937485.322,0.0,22.502,22.502,0.0
