data_type,backend,opt_median,rounds_median,cost_per_round_median,first_eval_median,n
AA,GPU_P0,15.397,1.0,15.397,0.555,97
AA,GPU_P5,15.397,1.0,15.397,0.556,99
AA,GPU_P6_FIX,15.382,1.0,15.382,0.549,98
AA,OMP_10,37.316,1.0,37.316,,100
AA,OMP_48,13.586,1.0,13.586,,100
AA,VANILA,247.279,1.0,247.279,,20
DNA,GPU_P0,20.872,4.0,4.679,0.354,80
DNA,GPU_P5,20.808,4.0,4.652,0.347,80
DNA,GPU_P6_FIX,20.852,4.0,4.662,0.345,80
DNA,OMP_10,33.174,4.0,6.515,,100
DNA,OMP_48,13.606,4.0,3.029,,100
DNA,VANILA,119.261,4.0,28.871,,40
