data_type,model,backend,walltime_mean,walltime_median,walltime_std,opt_time_mean,opt_time_median,opt_time_std,overhead_median,logl_mean,logl_std,tree_length_mean,n_runs
AA,LG,GPU_P0,17.687,18.316,1.323,14.785,15.397,1.324,2.89,-86316069.016,2644525.532,19.355,97
AA,LG,GPU_P5,17.671,18.286,1.312,14.799,15.397,1.313,2.864,-86324112.641,2618006.962,19.352,99
AA,LG,GPU_P6_FIX,17.672,18.278,1.321,14.779,15.382,1.318,2.89,-86320131.867,2631166.064,19.354,98
AA,LG,OMP_10,40.597,38.558,9.58,39.26,37.316,9.464,1.276,-86328013.8,2605043.269,19.351,100
AA,LG,OMP_48,15.457,15.02,2.398,14.026,13.586,2.357,1.387,-86328013.8,2605043.269,19.351,100
AA,LG,VANILA,251.787,250.29,33.784,248.778,247.279,33.832,2.988,-89703067.776,822470.828,20.13,20
DNA,GTR,GPU_P0,25.146,23.698,3.413,22.299,20.872,3.413,2.848,-66557528.13,1944873.717,19.49,80
DNA,GTR,GPU_P5,25.05,23.621,3.414,22.236,20.808,3.404,2.8,-66557528.13,1944873.717,19.49,80
DNA,GTR,GPU_P6_FIX,25.065,23.635,3.404,22.274,20.852,3.415,2.781,-66557528.13,1944873.717,19.49,80
DNA,GTR,OMP_10,38.111,34.237,14.922,36.906,33.174,14.858,1.079,-67437010.89,2633938.757,19.912,100
DNA,GTR,OMP_48,16.185,15.054,4.098,15.061,13.606,4.082,1.096,-67437010.89,2633938.757,19.912,100
DNA,GTR,VANILA,133.017,121.995,22.931,130.275,119.261,22.909,2.686,-66533394.68,1607473.986,19.648,40
