data_type,model,backend,walltime_median,opt_time_median,opt_time_std,overhead_median,n_runs
AA,LG,GPU_P0,18.274,15.395,1.328,2.878,96
AA,LG,GPU_P1v2,18.261,15.379,1.329,2.876,95
AA,LG,GPU_P5,18.286,15.397,1.313,2.864,99
AA,LG,OMP_10,38.558,37.316,9.464,1.276,100
AA,LG,OMP_48,15.02,13.586,2.357,1.387,100
AA,LG,VANILA,250.29,247.279,33.832,2.988,20
DNA,GTR,GPU_P0,23.674,20.92,3.349,2.799,79
DNA,GTR,GPU_P1v2,23.586,20.815,3.407,2.775,80
DNA,GTR,GPU_P5,23.621,20.808,3.404,2.8,80
DNA,GTR,OMP_10,34.237,33.174,14.858,1.079,100
DNA,GTR,OMP_48,15.054,13.606,4.082,1.096,100
DNA,GTR,VANILA,121.995,119.261,22.909,2.686,40
