data_type,model,backend,walltime_mean,walltime_median,walltime_std,opt_time_mean,opt_time_median,opt_time_std,overhead_median,logl_mean,logl_std,tree_length_mean,n_runs
AA,LG,GPU_P5,17.671,18.286,1.312,14.799,15.397,1.313,2.864,-86324112.641,2618006.962,19.352,99
AA,LG,GPU_REVERT,17.727,18.346,1.342,14.798,15.42,1.337,2.908,-86307686.711,2671866.291,19.358,95
AA,LG,OMP_10,40.597,38.558,9.58,39.26,37.316,9.464,1.276,-86328013.8,2605043.269,19.351,100
AA,LG,OMP_48,15.457,15.02,2.398,14.026,13.586,2.357,1.387,-86328013.8,2605043.269,19.351,100
AA,LG,VANILA,251.787,250.29,33.784,248.778,247.279,33.832,2.988,-89703067.776,822470.828,20.13,20
DNA,GTR,GPU_P5,25.05,23.621,3.414,22.236,20.808,3.404,2.8,-66557528.13,1944873.717,19.49,80
DNA,GTR,GPU_REVERT,25.315,23.767,3.647,22.183,20.836,3.34,2.865,-66545174.849,1954139.964,19.487,79
DNA,GTR,OMP_10,38.111,34.237,14.922,36.906,33.174,14.858,1.079,-67437010.89,2633938.757,19.912,100
DNA,GTR,OMP_48,16.185,15.054,4.098,15.061,13.606,4.082,1.096,-67437010.89,2633938.757,19.912,100
DNA,GTR,VANILA,133.017,121.995,22.931,130.275,119.261,22.909,2.686,-66533394.68,1607473.986,19.648,40
