data_type,model,backend,walltime_median,opt_time_median,opt_time_std,overhead_median,n_runs
AA,LG,GPU_P5,18.346,15.42,1.337,2.908,95
AA,LG,GPU_T1,18.2,15.386,1.308,2.822,100
AA,LG,OMP_10,38.558,37.316,9.464,1.276,100
AA,LG,OMP_48,15.02,13.586,2.357,1.387,100
AA,LG,VANILA,250.29,247.279,33.832,2.988,20
DNA,GTR,GPU_P5,23.767,20.836,3.34,2.865,79
DNA,GTR,GPU_T1,17.548,14.807,2.968,2.743,97
DNA,GTR,OMP_10,34.237,33.174,14.858,1.079,100
DNA,GTR,OMP_48,15.054,13.606,4.082,1.096,100
DNA,GTR,VANILA,121.995,119.261,22.909,2.686,40
