data_type,tree_type,model,n_trees,n_ll_exact (<0.01),n_ll_close (<1.0),max |LL diff|,mean LL diff,n_no_underflow,n_no_nan_rates,STATUS
AA,rooted,LG,10,10,10,0.0,0.0,10,10,✅ PASS
AA,rooted,LG+C60,10,0,0,53.4593,-38.26702,10,10,❌ FAIL
AA,rooted,LG+G4,10,10,10,0.0,0.0,10,10,✅ PASS
AA,rooted,LG+I,10,0,0,4.0547,2.57204,10,10,❌ FAIL
AA,rooted,LG+I+G4,10,0,2,7055.4518,-708.15983,9,10,❌ FAIL
AA,rooted,LG+R4,10,1,2,7057.2638,-5635.33579,2,2,❌ FAIL
AA,unrooted,LG,10,10,10,0.0,0.0,10,10,✅ PASS
AA,unrooted,LG+C60,10,0,0,48.5595,-34.28494,10,10,❌ FAIL
AA,unrooted,LG+G4,10,10,10,0.0,0.0,10,10,✅ PASS
AA,unrooted,LG+I,10,0,0,3.7066,2.70315,10,10,❌ FAIL
AA,unrooted,LG+I+G4,10,0,0,7046.2212,-1411.7445,8,10,❌ FAIL
AA,unrooted,LG+R4,10,0,1,7065.6492,-6344.59775,1,1,❌ FAIL
DNA,rooted,GTR,10,10,10,0.0012,7e-05,10,10,✅ PASS
DNA,rooted,GTR+G4,10,10,10,0.0001,0.0,10,10,✅ PASS
DNA,rooted,GTR+I,10,0,0,3.2799,2.71142,10,10,❌ FAIL
DNA,rooted,GTR+I+G4,10,0,0,7082.3834,-5660.45656,2,10,❌ FAIL
DNA,rooted,GTR+R4,10,0,0,7082.0346,-7073.16294,0,0,❌ FAIL
DNA,unrooted,GTR,10,10,10,0.0039,0.00036,10,10,✅ PASS
DNA,unrooted,GTR+G4,10,10,10,0.0001,1e-05,10,10,✅ PASS
DNA,unrooted,GTR+I,10,0,0,3.322,2.37465,10,10,❌ FAIL
DNA,unrooted,GTR+I+G4,10,0,1,7085.164,-6366.20136,1,10,❌ FAIL
DNA,unrooted,GTR+R4,10,0,1,7084.3353,-6366.09856,1,1,❌ FAIL
