data_type,tree_type,model,n_trees,n_ll_exact (<0.01),n_ll_close (<1.0),max |LL diff|,mean LL diff,n_no_underflow,n_no_nan_rates,STATUS
AA,rooted,LG,10,10,10,0.0,0.0,10,10,✅ PASS
AA,rooted,LG+C60,10,0,0,53.4593,-38.26702,10,10,❌ FAIL
AA,rooted,LG+G4,10,10,10,0.0,0.0,10,10,✅ PASS
AA,rooted,LG+I,10,10,10,0.0,0.0,10,10,✅ PASS
AA,rooted,LG+I+G4,10,4,9,1.373,-0.23749,10,10,❌ FAIL
AA,rooted,LG+R4,10,1,2,7051.5816,-5634.56357,2,2,❌ FAIL
AA,unrooted,LG,10,10,10,0.0,0.0,10,10,✅ PASS
AA,unrooted,LG+C60,10,0,0,48.5595,-34.28494,10,10,❌ FAIL
AA,unrooted,LG+G4,10,10,10,0.0,0.0,10,10,✅ PASS
AA,unrooted,LG+I,10,10,10,0.0,0.0,10,10,✅ PASS
AA,unrooted,LG+I+G4,10,2,8,7058.913,-1410.64012,8,10,❌ FAIL
AA,unrooted,LG+R4,10,0,1,7065.6492,-6346.00897,1,1,❌ FAIL
DNA,rooted,GTR,10,10,10,0.0012,7e-05,10,10,✅ PASS
DNA,rooted,GTR+G4,10,10,10,0.0001,0.0,10,10,✅ PASS
DNA,rooted,GTR+I,10,10,10,0.0028,-0.00035,10,10,✅ PASS
DNA,rooted,GTR+I+G4,10,1,3,7082.3834,-4952.5166,3,10,❌ FAIL
DNA,rooted,GTR+R4,10,0,0,7082.0346,-7073.16294,0,0,❌ FAIL
DNA,unrooted,GTR,10,10,10,0.0039,0.00036,10,10,✅ PASS
DNA,unrooted,GTR+G4,10,10,10,0.0001,1e-05,10,10,✅ PASS
DNA,unrooted,GTR+I,10,10,10,0.0,0.0,10,10,✅ PASS
DNA,unrooted,GTR+I+G4,10,0,0,7085.164,-7072.77574,0,10,❌ FAIL
DNA,unrooted,GTR+R4,10,0,1,7084.3353,-6366.41072,1,1,❌ FAIL
