data_type,tree_type,model,tree_num,final_ll_vanila,optimal_ll_vanila,best_score_vanila,opt_rounds_vanila,opt_time_vanila,wallclock_time_vanila,final_ll_openacc,optimal_ll_openacc,best_score_openacc,opt_rounds_openacc,opt_time_openacc,wallclock_time_openacc,has_underflow_openacc,n_underflow_deriv_openacc,n_underflow_sites_openacc,has_nan_rates_openacc,_merge,ll_diff,ll_abs_diff,ll_match,rounds_diff
AA,rooted,LG,1,-31.9526,-31.953,-31.953,1.0,0.0,0.017,-31.9526,-31.953,-31.953,1.0,0.015,0.049,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG,2,-52.7283,-52.728,-52.728,1.0,0.0,0.01,-52.7283,-52.728,-52.728,1.0,0.02,0.042,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG,3,-44.7702,-44.77,-44.77,1.0,0.0,0.008,-44.7702,-44.77,-44.77,1.0,0.019,0.069,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG,4,-64.1872,-64.187,-64.187,1.0,0.0,0.008,-64.1872,-64.187,-64.187,1.0,0.013,0.032,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG,5,-31.4485,-31.449,-31.449,1.0,0.0,0.009,-31.4485,-31.449,-31.449,1.0,0.022,0.041,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG,6,-58.1344,-58.134,-58.134,1.0,0.0,0.009,-58.1344,-58.134,-58.134,1.0,0.018,0.039,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG,7,-62.1876,-62.188,-62.188,1.0,0.0,0.008,-62.1876,-62.188,-62.188,1.0,0.014,0.032,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG,8,-49.228,-49.228,-49.228,1.0,0.0,0.011,-49.228,-49.228,-49.228,1.0,0.019,0.189,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG,9,-58.1418,-58.142,-58.142,1.0,0.0,0.008,-58.1418,-58.142,-58.142,1.0,0.017,0.046,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG,10,-33.8234,-33.823,-33.823,1.0,0.0,0.008,-33.8234,-33.823,-33.823,1.0,0.022,0.048,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG+C60,1,-48.411,-48.411,-48.411,2.0,0.162,0.189,-86.653,-86.653,-86.653,2.0,0.6,0.66,False,0,0,False,both,-38.242000000000004,38.242000000000004,False,0.0
AA,rooted,LG+C60,2,-46.7955,-46.796,-46.796,4.0,0.274,0.297,-87.7048,-87.705,-87.705,2.0,0.554,0.6,False,0,0,False,both,-40.90930000000001,40.90930000000001,False,-2.0
AA,rooted,LG+C60,3,-38.2773,-38.277,-38.277,3.0,0.128,0.15,-71.9325,-71.933,-71.933,2.0,0.391,0.427,False,0,0,False,both,-33.65520000000001,33.65520000000001,False,-1.0
AA,rooted,LG+C60,4,-60.1356,-60.136,-60.136,2.0,0.159,0.187,-89.5002,-89.5,-89.5,2.0,0.598,0.654,False,0,0,False,both,-29.36460000000001,29.36460000000001,False,0.0
AA,rooted,LG+C60,5,-55.6071,-55.607,-55.607,3.0,0.217,0.244,-93.4043,-93.404,-93.404,2.0,0.619,0.666,False,0,0,False,both,-37.797200000000004,37.797200000000004,False,-1.0
AA,rooted,LG+C60,6,-45.3339,-45.334,-45.334,3.0,0.18,0.202,-70.8952,-70.895,-70.895,2.0,0.591,0.651,False,0,0,False,both,-25.561300000000003,25.561300000000003,False,-1.0
AA,rooted,LG+C60,7,-42.8248,-42.825,-42.825,4.0,0.339,0.361,-96.2841,-96.284,-96.284,2.0,0.597,0.672,False,0,0,False,both,-53.45929999999999,53.45929999999999,False,-2.0
AA,rooted,LG+C60,8,-30.7472,-30.747,-30.747,2.0,0.082,0.104,-66.6042,-66.604,-66.604,2.0,0.483,0.516,False,0,0,False,both,-35.857000000000006,35.857000000000006,False,0.0
AA,rooted,LG+C60,9,-41.3954,-41.395,-41.395,3.0,0.176,0.198,-84.6761,-84.676,-84.676,2.0,0.588,0.65,False,0,0,False,both,-43.2807,43.2807,False,-1.0
AA,rooted,LG+C60,10,-34.5295,-34.529,-34.529,3.0,0.189,0.314,-79.0731,-79.073,-79.073,2.0,0.454,0.526,False,0,0,False,both,-44.5436,44.5436,False,-1.0
AA,rooted,LG+G4,1,-42.6132,-42.613,-42.613,2.0,0.003,0.011,-42.6132,-42.613,-42.613,2.0,0.037,0.051,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG+G4,2,-43.5726,-43.573,-43.573,3.0,0.004,0.017,-43.5726,-43.573,-43.573,3.0,0.052,0.075,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG+G4,3,-34.2152,-34.215,-34.215,2.0,0.002,0.011,-34.2152,-34.215,-34.215,2.0,0.044,0.059,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG+G4,4,-58.3442,-58.344,-58.344,2.0,0.002,0.01,-58.3442,-58.344,-58.344,2.0,0.037,0.059,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG+G4,5,-50.6037,-50.604,-50.604,2.0,0.003,0.01,-50.6037,-50.604,-50.604,2.0,0.042,0.061,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG+G4,6,-51.8538,-51.854,-51.854,3.0,0.005,0.013,-51.8538,-51.854,-51.854,3.0,0.064,0.088,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG+G4,7,-66.5284,-66.528,-66.528,3.0,0.005,0.014,-66.5284,-66.528,-66.528,3.0,0.051,0.075,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG+G4,8,-45.1632,-45.163,-45.163,3.0,0.004,0.012,-45.1632,-45.163,-45.163,3.0,0.056,0.083,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG+G4,9,-28.2178,-28.218,-28.218,2.0,0.002,0.01,-28.2178,-28.218,-28.218,2.0,0.04,0.072,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG+G4,10,-52.2317,-52.232,-52.232,3.0,0.003,0.011,-52.2317,-52.232,-52.232,3.0,0.059,0.09,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG+I,1,-57.2194,-57.219,-57.219,3.0,0.002,0.019,-57.2194,-57.219,-57.219,3.0,0.035,0.105,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG+I,2,-47.2156,-47.216,-47.216,2.0,0.004,0.02,-47.2156,-47.216,-47.216,2.0,0.038,0.06,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG+I,3,-40.3739,-40.374,-40.374,2.0,0.001,0.011,-40.3739,-40.374,-40.374,2.0,0.029,0.048,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG+I,4,-53.4773,-53.477,-53.477,2.0,0.001,0.009,-53.4773,-53.477,-53.477,2.0,0.021,0.039,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG+I,5,-57.3439,-57.344,-57.344,2.0,0.001,0.008,-57.3439,-57.344,-57.344,2.0,0.027,0.052,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG+I,6,-51.0907,-51.091,-51.091,3.0,0.002,0.01,-51.0907,-51.091,-51.091,3.0,0.035,0.043,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG+I,7,-56.392,-56.392,-56.392,3.0,0.002,0.015,-56.392,-56.392,-56.392,3.0,0.031,0.071,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG+I,8,-41.0619,-41.062,-41.062,3.0,0.002,0.011,-41.0619,-41.062,-41.062,3.0,0.038,0.059,False,0,0,False,both,0.0,0.0,True,0.0
AA,rooted,LG+I,9,-28.9629,-28.963,-28.963,2.0,0.001,0.009,-28.9629,-28.963,-28.963,2.0,0.023,0.06,False,0,0,False,both,0.0,0.0,True,0.0
