data_type,model,n_trees,exact_match,max_diff,mean_diff,pct_exact
AA,LG,20,20,0.0,0.0,100.0
AA,LG+C60,20,0,53.45929999999999,36.275980000000004,0.0
AA,LG+G4,20,20,0.0,0.0,100.0
AA,LG+I,20,20,0.0,0.0,100.0
AA,LG+I+G4,20,20,0.0,0.0,100.0
AA,LG+R4,20,1,1.7632000000000048,0.4665199999999995,5.0
DNA,GTR,20,15,0.003900000000001569,0.0003249999999999531,75.0
DNA,GTR+G4,20,19,0.00010000000000331966,1.5000000000142676e-05,95.0
DNA,GTR+I,20,17,0.002799999999997027,0.0002049999999998775,85.0
DNA,GTR+I+G4,20,15,0.040500000000001535,0.0023450000000000415,75.0
DNA,GTR+R4,20,4,3.825700000000001,0.42160499999999984,20.0
