data_type,topology,model,tree,ll_OPENACC,ll_VANILA,ll_diff,underflow_OPENACC,underflow_VANILA,pinvar_OPENACC,pinvar_VANILA,gamma_OPENACC,gamma_VANILA,opt_time_OPENACC,opt_time_VANILA
DNA,rooted,GTR,tree_1,-21.7743,-21.7742,9.999999999976694e-05,0,0,,,,,0.111,0.005
DNA,rooted,GTR,tree_10,-19.0077,-19.0077,0.0,0,0,,,,,0.038,0.002
DNA,rooted,GTR,tree_2,-19.5972,-19.5972,0.0,0,0,,,,,0.04,0.001
DNA,rooted,GTR,tree_3,-19.7937,-19.7937,0.0,0,0,,,,,0.026,0.001
DNA,rooted,GTR,tree_4,-31.8624,-31.8623,9.999999999976694e-05,0,0,,,,,0.111,0.003
DNA,rooted,GTR,tree_5,-28.3623,-28.3623,0.0,0,0,,,,,0.051,0.002
DNA,rooted,GTR,tree_6,-23.2972,-23.2969,0.0002999999999993008,0,0,,,,,0.06,0.002
DNA,rooted,GTR,tree_7,-36.2323,-36.2323,0.0,0,0,,,,,0.052,0.001
DNA,rooted,GTR,tree_8,-21.1132,-21.1144,0.001200000000000756,0,0,,,,,0.08,0.003
DNA,rooted,GTR,tree_9,-28.5536,-28.5536,0.0,0,0,,,,,0.03,0.001
DNA,rooted,GTR+G4,tree_1,-15.7619,-15.7619,0.0,0,0,,,998.4,998.4,0.044,0.005
DNA,rooted,GTR+G4,tree_10,-24.165,-24.165,0.0,0,0,,,998.4,998.4,0.06,0.007
DNA,rooted,GTR+G4,tree_2,-21.6552,-21.6551,9.999999999976694e-05,0,0,,,998.4,998.4,0.045,0.005
DNA,rooted,GTR+G4,tree_3,-22.174,-22.174,0.0,0,0,,,0.208,0.208,0.234,0.015
DNA,rooted,GTR+G4,tree_4,-22.0407,-22.0407,0.0,0,0,,,0.5521,0.5521,0.05,0.003
DNA,rooted,GTR+G4,tree_5,-17.6505,-17.6505,0.0,0,0,,,998.4,998.4,0.047,0.005
DNA,rooted,GTR+G4,tree_6,-27.9543,-27.9543,0.0,0,0,,,998.4,998.4,0.052,0.006
DNA,rooted,GTR+G4,tree_7,-20.493,-20.493,0.0,0,0,,,998.4,998.4,0.111,0.007
DNA,rooted,GTR+G4,tree_8,-31.7372,-31.7372,0.0,0,0,,,998.4,998.4,0.09,0.009
DNA,rooted,GTR+G4,tree_9,-17.7248,-17.7249,0.00010000000000331966,0,0,,,998.4,998.4,0.033,0.003
DNA,rooted,GTR+I,tree_1,-18.5477,-18.5477,0.0,0,0,1.0,1.0,,,0.056,0.002
DNA,rooted,GTR+I,tree_10,-20.3435,-20.3435,0.0,0,0,1.0,1.0,,,0.063,0.002
DNA,rooted,GTR+I,tree_2,-26.4621,-26.4621,0.0,0,0,1.0,1.0,,,0.1,0.003
DNA,rooted,GTR+I,tree_3,-28.6229,-28.6229,0.0,0,0,0.4005,0.4005,,,0.084,0.003
DNA,rooted,GTR+I,tree_4,-21.1973,-21.1973,0.0,0,0,1.0,1.0,,,0.12,0.009
DNA,rooted,GTR+I,tree_5,-17.0085,-17.0088,0.0002999999999993008,0,0,1.0,1.0,,,0.105,0.003
DNA,rooted,GTR+I,tree_6,-22.7735,-22.7707,0.002799999999997027,0,0,1.0,1.0,,,0.122,0.006
DNA,rooted,GTR+I,tree_7,-24.8926,-24.8926,0.0,0,0,0.5716,0.5717,,,0.07,0.002
DNA,rooted,GTR+I,tree_8,-16.8675,-16.8665,0.0010000000000012221,0,0,1.0,1.0,,,0.385,0.011
DNA,rooted,GTR+I,tree_9,-33.4432,-33.4432,0.0,0,0,1.0,1.0,,,0.087,0.003
DNA,rooted,GTR+I+G4,tree_1,-26.6019,-26.6021,0.00019999999999953388,0,0,0.5847,0.5847,998.4,998.4,0.764,0.032
DNA,rooted,GTR+I+G4,tree_10,-18.1703,-18.1703,0.0,0,0,8.81,8.81,998.4,998.4,0.79,0.046
DNA,rooted,GTR+I+G4,tree_2,-42.3377,-42.3377,0.0,0,0,0.01086,0.01086,998.4,998.4,1.084,0.046
DNA,rooted,GTR+I+G4,tree_3,-15.4437,-15.4437,0.0,0,0,9.842,9.842,998.4,998.4,0.279,0.009
DNA,rooted,GTR+I+G4,tree_4,-18.8078,-18.8078,0.0,0,0,9.468,9.468,1.2,1.2,0.708,0.026
DNA,rooted,GTR+I+G4,tree_5,-16.4382,-16.4382,0.0,0,0,7.321,7.321,998.4,998.4,1.021,0.041
DNA,rooted,GTR+I+G4,tree_6,-22.9061,-22.9466,0.040500000000001535,0,0,0.07769,0.07589,998.4,998.4,0.941,0.042
DNA,rooted,GTR+I+G4,tree_7,-15.4134,-15.4134,0.0,0,0,9.936,9.936,998.4,998.4,0.213,0.007
DNA,rooted,GTR+I+G4,tree_8,-30.3469,-30.3507,0.0037999999999982492,0,0,0.1627,0.1692,998.4,998.4,0.673,0.028
DNA,rooted,GTR+I+G4,tree_9,-10.889,-10.889,0.0,0,0,1.0,1.0,617.5,0.9517,0.163,0.009
DNA,rooted,GTR+R4,tree_1,-26.2592,-26.1687,0.09049999999999869,0,0,,,,,0.142,0.007
DNA,rooted,GTR+R4,tree_10,-21.9907,-21.9917,0.0010000000000012221,0,0,,,,,0.078,0.004
DNA,rooted,GTR+R4,tree_2,-38.7862,-38.5182,0.2680000000000007,0,0,,,,,0.047,0.007
DNA,rooted,GTR+R4,tree_3,-23.9877,-23.9302,0.057500000000000995,0,0,,,,,0.079,0.005
DNA,rooted,GTR+R4,tree_4,-27.6657,-26.2633,1.4024,0,0,,,,,0.069,0.013
DNA,rooted,GTR+R4,tree_5,-15.7922,-15.7925,0.0003000000000010772,0,0,,,,,0.059,0.004
DNA,rooted,GTR+R4,tree_6,-18.4377,-17.4709,0.9667999999999992,0,0,,,,,0.14,0.013
DNA,rooted,GTR+R4,tree_7,-28.7871,-28.7871,0.0,0,0,,,,,0.146,0.007
DNA,rooted,GTR+R4,tree_8,-17.6188,-17.9424,0.323599999999999,0,0,,,,,0.122,0.004
DNA,rooted,GTR+R4,tree_9,-29.7775,-29.7766,0.0009000000000014552,0,0,,,,,0.243,0.011
DNA,unrooted,GTR,tree_1,-28.3491,-28.3494,0.0002999999999993008,0,0,,,,,0.11,0.005
DNA,unrooted,GTR,tree_10,-18.67,-18.67,0.0,0,0,,,,,0.031,0.001
DNA,unrooted,GTR,tree_2,-19.0819,-19.0819,0.0,0,0,,,,,0.034,0.001
DNA,unrooted,GTR,tree_3,-21.3193,-21.3187,0.0005999999999986017,0,0,,,,,0.075,0.004
DNA,unrooted,GTR,tree_4,-19.7366,-19.7366,0.0,0,0,,,,,0.03,0.001
DNA,unrooted,GTR,tree_5,-21.9801,-21.984,0.003900000000001569,0,0,,,,,0.07,0.003
DNA,unrooted,GTR,tree_6,-30.3326,-30.3326,0.0,0,0,,,,,0.067,0.002
DNA,unrooted,GTR,tree_7,-20.9363,-20.9363,0.0,0,0,,,,,0.052,0.004
DNA,unrooted,GTR,tree_8,-31.196,-31.196,0.0,0,0,,,,,0.051,0.003
DNA,unrooted,GTR,tree_9,-15.7751,-15.7751,0.0,0,0,,,,,0.032,0.001
