data_type,topology,model,n_trees,n_exact,max_diff,mean_diff,median_diff,status
AA,rooted,LG,10,10,0.0,0.0,0.0,✅ PASS
AA,rooted,LG+C60,10,0,53.45929999999999,38.26702000000001,38.019600000000004,❌ FAIL
AA,rooted,LG+G4,10,10,0.0,0.0,0.0,✅ PASS
AA,rooted,LG+I,10,10,0.0,0.0,0.0,✅ PASS
AA,rooted,LG+I+G4,10,10,0.0,0.0,0.0,✅ PASS
AA,rooted,LG+R4,10,1,1.5163999999999973,0.2580999999999989,0.018250000000001876,❌ FAIL
AA,unrooted,LG,10,10,0.0,0.0,0.0,✅ PASS
AA,unrooted,LG+C60,10,0,48.5595,34.284940000000006,34.61255,❌ FAIL
AA,unrooted,LG+G4,10,10,0.0,0.0,0.0,✅ PASS
AA,unrooted,LG+I,10,10,0.0,0.0,0.0,✅ PASS
AA,unrooted,LG+I+G4,10,10,0.0,0.0,0.0,✅ PASS
AA,unrooted,LG+R4,10,0,1.7632000000000048,0.6749400000000001,0.4876000000000005,❌ FAIL
DNA,rooted,GTR,10,8,0.001200000000000756,0.00016999999999995908,0.0,✅ PASS
DNA,rooted,GTR+G4,10,9,0.00010000000000331966,2.000000000030866e-05,0.0,✅ PASS
DNA,rooted,GTR+I,10,7,0.002799999999997027,0.000409999999999755,0.0,✅ PASS
DNA,rooted,GTR+I+G4,10,7,0.040500000000001535,0.0044499999999999314,0.0,⚠️ WARN
DNA,rooted,GTR+R4,10,1,1.4024,0.31110000000000027,0.07399999999999984,❌ FAIL
DNA,unrooted,GTR,10,7,0.003900000000001569,0.00047999999999994716,0.0,✅ PASS
DNA,unrooted,GTR+G4,10,10,9.999999999976694e-05,9.999999999976694e-06,0.0,✅ PASS
DNA,unrooted,GTR+I,10,10,0.0,0.0,0.0,✅ PASS
DNA,unrooted,GTR+I+G4,10,8,0.0015000000000000568,0.0002400000000001512,0.0,✅ PASS
DNA,unrooted,GTR+R4,10,3,3.825700000000001,0.5321099999999994,0.02334999999999887,❌ FAIL
