data_type,topology,model,tree,ll_VANILA,time_VANILA,uf_VANILA,rates_VANILA,ll_OPENACC,time_OPENACC,uf_OPENACC,rates_OPENACC,ll_diff
AA,rooted,LG,tree_1,-31.9526,0.103266,0,,-31.9526,0.01968,0,,0.0
AA,rooted,LG,tree_10,-33.8234,0.0423338,0,,-33.8234,0.020952,0,,0.0
AA,rooted,LG,tree_2,-52.7283,0.018665,0,,-52.7283,0.019768,0,,0.0
AA,rooted,LG,tree_3,-44.7702,0.0393537,0,,-44.7702,0.020179,0,,0.0
AA,rooted,LG,tree_4,-64.1872,0.0197316,0,,-64.1872,0.0183511,0,,0.0
AA,rooted,LG,tree_5,-31.4485,0.0177989,0,,-31.4485,0.0333252,0,,0.0
AA,rooted,LG,tree_6,-58.1344,0.065012,0,,-58.1344,0.0325241,0,,0.0
AA,rooted,LG,tree_7,-62.1876,0.146859,0,,-62.1876,0.018873,0,,0.0
AA,rooted,LG,tree_8,-49.228,0.027998,0,,-49.228,0.019917,0,,0.0
AA,rooted,LG,tree_9,-58.1418,0.0346705,0,,-58.1418,0.0190871,0,,0.0
AA,rooted,LG+C60,tree_1,-48.411,0.200405,0,,-86.653,0.697103,0,,38.242000000000004
AA,rooted,LG+C60,tree_10,-34.5295,0.211333,0,,-79.0731,0.563439,0,,44.5436
AA,rooted,LG+C60,tree_2,-46.7955,0.296747,0,,-87.7048,0.627467,0,,40.90930000000001
AA,rooted,LG+C60,tree_3,-38.2773,0.148205,0,,-71.9325,0.447007,0,,33.65520000000001
AA,rooted,LG+C60,tree_4,-60.1356,0.183554,0,,-89.5002,0.685053,0,,29.36460000000001
AA,rooted,LG+C60,tree_5,-55.6071,0.240208,0,,-93.4043,0.71236,0,,37.797200000000004
AA,rooted,LG+C60,tree_6,-45.3339,0.197247,0,,-70.8952,0.663063,0,,25.561300000000003
AA,rooted,LG+C60,tree_7,-42.8248,0.359232,0,,-96.2841,0.6739,0,,53.45929999999999
AA,rooted,LG+C60,tree_8,-30.7472,0.129007,0,,-66.6042,0.538144,0,,35.857000000000006
AA,rooted,LG+C60,tree_9,-41.3954,0.203195,0,,-84.6761,0.647358,0,,43.2807
AA,rooted,LG+G4,tree_1,-42.6132,0.0125846,0,,-42.6132,0.0449438,0,,0.0
AA,rooted,LG+G4,tree_10,-52.2317,0.0378261,0,,-52.2317,0.0625341,0,,0.0
AA,rooted,LG+G4,tree_2,-43.5726,0.0168676,0,,-43.5726,0.0503831,0,,0.0
AA,rooted,LG+G4,tree_3,-34.2152,0.0118923,0,,-34.2152,0.042486,0,,0.0
AA,rooted,LG+G4,tree_4,-58.3442,0.0558622,0,,-58.3442,0.049974,0,,0.0
AA,rooted,LG+G4,tree_5,-50.6037,0.0264112,0,,-50.6037,0.0600948,0,,0.0
AA,rooted,LG+G4,tree_6,-51.8538,0.0533441,0,,-51.8538,0.074625,0,,0.0
AA,rooted,LG+G4,tree_7,-66.5284,0.0561272,0,,-66.5284,0.0601599,0,,0.0
AA,rooted,LG+G4,tree_8,-45.1632,0.0270051,0,,-45.1632,0.0636492,0,,0.0
AA,rooted,LG+G4,tree_9,-28.2178,0.0596678,0,,-28.2178,0.0385931,0,,0.0
AA,rooted,LG+I,tree_1,-57.2194,0.0469821,0,,-57.2194,0.034945,0,,0.0
AA,rooted,LG+I,tree_10,-42.5409,0.0590216,0,,-42.5409,0.027205,0,,0.0
AA,rooted,LG+I,tree_2,-47.2156,0.0142658,0,,-47.2156,0.0389171,0,,0.0
AA,rooted,LG+I,tree_3,-40.3739,0.0495745,0,,-40.3739,0.0383739,0,,0.0
AA,rooted,LG+I,tree_4,-53.4773,0.0756395,0,,-53.4773,0.0275841,0,,0.0
AA,rooted,LG+I,tree_5,-57.3439,0.015472,0,,-57.3439,0.0272999,0,,0.0
AA,rooted,LG+I,tree_6,-51.0907,0.0566886,0,,-51.0907,0.045387,0,,0.0
AA,rooted,LG+I,tree_7,-56.392,0.0694509,0,,-56.392,0.0691659,0,,0.0
AA,rooted,LG+I,tree_8,-41.0619,0.024046,0,,-41.0619,0.045424,0,,0.0
AA,rooted,LG+I,tree_9,-28.9629,0.0334124,0,,-28.9629,0.0280652,0,,0.0
AA,rooted,LG+I+G4,tree_1,-44.8068,0.111384,0,,-44.8068,0.97796,0,,0.0
