data_type,tree_type,model,tree_num,build,is_verbose,log_likelihood,rates_info
AA,rooted,LG,tree_1,OPENACC,False,-31.9526,
AA,rooted,LG,tree_1,VANILA,False,-31.9526,
AA,rooted,LG,tree_10,OPENACC,False,-33.8234,
AA,rooted,LG,tree_10,VANILA,False,-33.8234,
AA,rooted,LG,tree_2,OPENACC,False,-52.7283,
AA,rooted,LG,tree_2,VANILA,False,-52.7283,
AA,rooted,LG,tree_3,OPENACC,False,-44.7702,
AA,rooted,LG,tree_3,VANILA,False,-44.7702,
AA,rooted,LG,tree_4,OPENACC,False,-64.1872,
AA,rooted,LG,tree_4,VANILA,False,-64.1872,
AA,rooted,LG,tree_5,OPENACC,False,-31.4485,
AA,rooted,LG,tree_5,VANILA,False,-31.4485,
AA,rooted,LG,tree_6,OPENACC,False,-58.1344,
AA,rooted,LG,tree_6,VANILA,False,-58.1344,
AA,rooted,LG,tree_7,OPENACC,False,-62.1876,
AA,rooted,LG,tree_7,VANILA,False,-62.1876,
AA,rooted,LG,tree_8,OPENACC,False,-49.228,
AA,rooted,LG,tree_8,VANILA,False,-49.228,
AA,rooted,LG,tree_9,OPENACC,False,-58.1418,
AA,rooted,LG,tree_9,VANILA,False,-58.1418,
AA,rooted,LG+C60,tree_1,OPENACC,False,-86.653,1         0.0242         0.2500 |   2         0.2165         0.2500 |   3         0.7783         0.2500 |   4         2.9810         0.2500
AA,rooted,LG+C60,tree_1,VANILA,False,-48.411,1         0.2392         0.2500 |   2         0.6032         0.2500 |   3         1.0554         0.2500 |   4         2.1023         0.2500
AA,rooted,LG+C60,tree_10,OPENACC,False,-79.0731,1         0.0620         0.2500 |   2         0.3351         0.2500 |   3         0.9016         0.2500 |   4         2.7013         0.2500
AA,rooted,LG+C60,tree_10,VANILA,False,-34.5295,1         0.0000         0.2500 |   2         0.0000         0.2500 |   3         0.0000         0.2500 |   4         4.0000         0.2500
AA,rooted,LG+C60,tree_2,OPENACC,False,-87.7048,1         0.9601         0.2500 |   2         0.9894         0.2500 |   3         1.0100         0.2500 |   4         1.0405         0.2500
AA,rooted,LG+C60,tree_2,VANILA,False,-46.7955,1         0.0004         0.2500 |   2         0.0276         0.2500 |   3         0.3539         0.2500 |   4         3.6181         0.2500
AA,rooted,LG+C60,tree_3,OPENACC,False,-71.9325,1         0.9601         0.2500 |   2         0.9894         0.2500 |   3         1.0100         0.2500 |   4         1.0405         0.2500
AA,rooted,LG+C60,tree_3,VANILA,False,-38.2773,1         0.9601         0.2500 |   2         0.9894         0.2500 |   3         1.0100         0.2500 |   4         1.0405         0.2500
AA,rooted,LG+C60,tree_4,OPENACC,False,-89.5002,1         0.9601         0.2500 |   2         0.9894         0.2500 |   3         1.0100         0.2500 |   4         1.0405         0.2500
AA,rooted,LG+C60,tree_4,VANILA,False,-60.1356,1         0.1810         0.2500 |   2         0.5371         0.2500 |   3         1.0300         0.2500 |   4         2.2520         0.2500
AA,rooted,LG+C60,tree_5,OPENACC,False,-93.4043,1         0.9601         0.2500 |   2         0.9894         0.2500 |   3         1.0100         0.2500 |   4         1.0405         0.2500
AA,rooted,LG+C60,tree_5,VANILA,False,-55.6071,1         0.9601         0.2500 |   2         0.9894         0.2500 |   3         1.0100         0.2500 |   4         1.0405         0.2500
