data_type,tree_type,model,n_trees,n_ll_exact (<0.01),n_ll_close (<1.0),max |LL diff|,mean LL diff,n_no_underflow,n_no_nan_rates,STATUS
AA,rooted,LG,10,10,10,0.0,0.0,10,10,✅ PASS
AA,rooted,LG+C60,10,0,0,53.4593,-38.26702,10,10,❌ FAIL
AA,rooted,LG+G4,10,10,10,0.0,0.0,10,10,✅ PASS
AA,rooted,LG+I,10,10,10,0.0,0.0,10,10,✅ PASS
AA,rooted,LG+I+G4,10,4,10,0.4213,-0.15068,10,10,❌ FAIL
AA,rooted,LG+R4,10,0,1,7062.3748,-5635.74733,2,2,❌ FAIL
AA,unrooted,LG,10,10,10,0.0,0.0,10,10,✅ PASS
AA,unrooted,LG+C60,10,0,0,48.5595,-34.28494,10,10,❌ FAIL
AA,unrooted,LG+G4,10,10,10,0.0,0.0,10,10,✅ PASS
AA,unrooted,LG+I,10,10,10,0.0,0.0,10,10,✅ PASS
AA,unrooted,LG+I+G4,10,0,8,7046.6287,-1409.45178,8,10,❌ FAIL
AA,unrooted,LG+R4,10,0,3,7054.5034,-4228.07126,4,4,❌ FAIL
DNA,rooted,GTR,10,10,10,0.0012,7e-05,10,10,✅ PASS
DNA,rooted,GTR+G4,10,10,10,0.0001,0.0,10,10,✅ PASS
DNA,rooted,GTR+I,10,10,10,0.0028,-0.00035,10,10,✅ PASS
DNA,rooted,GTR+I+G4,10,1,3,7082.3834,-4951.37855,3,10,❌ FAIL
DNA,rooted,GTR+R4,10,0,0,7082.0346,-7073.16294,0,0,❌ FAIL
DNA,unrooted,GTR,10,10,10,0.0039,0.00036,10,10,✅ PASS
DNA,unrooted,GTR+G4,10,10,10,0.0001,1e-05,10,10,✅ PASS
DNA,unrooted,GTR+I,10,10,10,0.0,0.0,10,10,✅ PASS
DNA,unrooted,GTR+I+G4,10,0,3,7082.0681,-4243.33248,4,10,❌ FAIL
DNA,unrooted,GTR+R4,10,0,1,7084.3353,-6365.66209,1,1,❌ FAIL
