data_type,tree_type,model,n_trees,n_ll_exact (<0.01),n_ll_close (<1.0),max |LL diff|,mean LL diff,n_no_underflow,n_no_nan_rates,STATUS
AA,rooted,LG,10,10,10,0.0,0.0,10,10,✅ PASS
AA,rooted,LG+C60,10,0,0,53.4593,-38.26702,10,10,❌ FAIL
AA,rooted,LG+G4,10,10,10,0.0,0.0,10,10,✅ PASS
AA,rooted,LG+I,10,10,10,0.0,0.0,10,10,✅ PASS
AA,rooted,LG+I+G4,10,10,10,0.0,0.0,10,10,✅ PASS
AA,rooted,LG+R4,10,3,9,1.5164,-0.2512,10,10,❌ FAIL
AA,unrooted,LG,10,10,10,0.0,0.0,10,10,✅ PASS
AA,unrooted,LG+C60,10,0,0,48.5595,-34.28494,10,10,❌ FAIL
AA,unrooted,LG+G4,10,10,10,0.0,0.0,10,10,✅ PASS
AA,unrooted,LG+I,10,10,10,0.0,0.0,10,10,✅ PASS
AA,unrooted,LG+I+G4,10,10,10,0.0,0.0,10,10,✅ PASS
AA,unrooted,LG+R4,10,1,7,1.7632,-0.67094,10,10,❌ FAIL
DNA,rooted,GTR,10,10,10,0.0084,0.00094,10,10,✅ PASS
DNA,rooted,GTR+G4,10,10,10,0.0002,-1e-05,10,10,✅ PASS
DNA,rooted,GTR+I,10,10,10,0.0011,-9e-05,10,10,✅ PASS
DNA,rooted,GTR+I+G4,10,10,10,0.0019,0.00019,10,10,✅ PASS
DNA,rooted,GTR+R4,10,4,9,1.4024,-0.24558,10,10,❌ FAIL
DNA,unrooted,GTR,10,10,10,0.0061,0.00058,10,10,✅ PASS
DNA,unrooted,GTR+G4,10,10,10,0.0002,3e-05,10,10,✅ PASS
DNA,unrooted,GTR+I,10,10,10,0.0001,2e-05,10,10,✅ PASS
DNA,unrooted,GTR+I+G4,10,10,10,0.0017,-0.00023,10,10,✅ PASS
DNA,unrooted,GTR+R4,10,6,9,3.8257,-0.52521,10,10,❌ FAIL
