stage,kernel,data_type,exec_type,unique_name,lnl,wall_time_s,opt_time_s,test_case
aferprof1,nonrev,AA,OPENACC,AA_kernel-nonrev_100taxa_10000len,-807351.39,218.235,1.366,AA NONREV | AA_kernel-nonrev_100taxa_10000len
aferprof2,nonrev,AA,OPENACC,AA_kernel-nonrev_100taxa_10000len,-807351.39,219.415,1.366,AA NONREV | AA_kernel-nonrev_100taxa_10000len
aferprof3,nonrev,AA,OPENACC,AA_kernel-nonrev_100taxa_10000len,-807351.39,226.01,1.416,AA NONREV | AA_kernel-nonrev_100taxa_10000len
aferprof4,nonrev,AA,OPENACC,AA_kernel-nonrev_100taxa_10000len,-807351.39,220.801,1.384,AA NONREV | AA_kernel-nonrev_100taxa_10000len
aferprof5,nonrev,AA,OPENACC,AA_kernel-nonrev_100taxa_10000len,-807351.39,218.201,1.361,AA NONREV | AA_kernel-nonrev_100taxa_10000len
aferprof6,nonrev,AA,OPENACC,AA_kernel-nonrev_100taxa_10000len,-807351.39,220.332,1.379,AA NONREV | AA_kernel-nonrev_100taxa_10000len
aferprof7,nonrev,AA,OPENACC,AA_kernel-nonrev_100taxa_10000len,-807351.39,226.095,1.413,AA NONREV | AA_kernel-nonrev_100taxa_10000len
baseline,nonrev,AA,OPENACC,AA_kernel-nonrev_100taxa_10000len,-807351.39,219.632,1.375,AA NONREV | AA_kernel-nonrev_100taxa_10000len
baseline,nonrev,AA,VANILA,AA_kernel-nonrev_100taxa_10000len,-807351.39,4495.372,26.282,AA NONREV | AA_kernel-nonrev_100taxa_10000len
opt2,nonrev,AA,OPENACC,AA_kernel-nonrev_100taxa_10000len,-807351.39,227.981,1.43,AA NONREV | AA_kernel-nonrev_100taxa_10000len
aferprof1,rev,AA,OPENACC,AA_100taxa_10000len,-807351.39,241.948,1.423,AA REV | AA_100taxa_10000len
aferprof1,rev,AA,OPENACC,AA_LG-I-G4_100taxa_10000len,-837336.222,19.116,18.957,AA REV | AA_LG-I-G4_100taxa_10000len
aferprof2,rev,AA,OPENACC,AA_100taxa_10000len,-807351.39,215.926,1.286,AA REV | AA_100taxa_10000len
aferprof2,rev,AA,OPENACC,AA_LG-I-G4_100taxa_10000len,-837336.222,15.842,15.809,AA REV | AA_LG-I-G4_100taxa_10000len
aferprof3,rev,AA,OPENACC,AA_100taxa_10000len,-807351.39,207.108,1.234,AA REV | AA_100taxa_10000len
aferprof3,rev,AA,OPENACC,AA_LG-I-G4_100taxa_10000len,-837336.222,15.799,15.764,AA REV | AA_LG-I-G4_100taxa_10000len
aferprof4,rev,AA,OPENACC,AA_100taxa_10000len,-807351.39,209.389,1.248,AA REV | AA_100taxa_10000len
aferprof4,rev,AA,OPENACC,AA_LG-I-G4_100taxa_10000len,-837336.222,17.979,16.203,AA REV | AA_LG-I-G4_100taxa_10000len
