data_type,exec_type,length,threads,compiler,wall_total_sec,cpu_total_sec,wall_treesearch_sec,best_lnl,iterations,completed,model,command,wall_total_min,wall_treesearch_min,length_label,config_label
AA,VANILA,100000,1,Clang,69795.45,69248.451,42993.613,-7541976.86,102.0,True,LG+I+G4,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-auto/builds/build-clang-vanila/iqtree3 -s alignment_100000.phy --prefix output_CLANG_TESTS_AA_LG+I+G4_CLANG_VANILA_taxa100_run1_tree_1_100000_iqtree3_AA_CLANG_VANILA_LG-I-G4_100taxa_100000len_CLANG_VANILA_run1_tree_1_100000_aa_iqtree -seed 1,1163.2575,716.5602166666666,100K,Clang 1T
AA,VANILA,10000,1,Clang,6217.484,6175.547,3494.261,-807350.031,102.0,True,LG+I+G4,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-auto/builds/build-clang-vanila/iqtree3 -s alignment_10000.phy --prefix output_CLANG_TESTS_AA_LG+I+G4_CLANG_VANILA_taxa100_run1_tree_1_10000_iqtree3_AA_CLANG_VANILA_LG-I-G4_100taxa_10000len_CLANG_VANILA_run1_tree_1_10000_aa_iqtree -seed 1,103.62473333333334,58.23768333333333,10K,Clang 1T
AA,OMP_10,1000000,10,Clang,108943.917,955469.672,70168.078,-78605196.573,102.0,True,LG+I+G4,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-auto/builds/build-clang-vanila/iqtree3 -s alignment_1000000.phy --prefix output_CLANG_TESTS_AA_LG+I+G4_OMP_10_taxa100_run1_tree_1_1000000_iqtree3_AA_CLANG_VANILA_OMP10_LG-I-G4_100taxa_1000000len_aa -seed 1 -nt 10,1815.73195,1169.4679666666666,1M,Clang 10T
AA,OMP_10,100000,10,Clang,8611.117,82219.26,5497.912,-7541976.86,102.0,True,LG+I+G4,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-auto/builds/build-clang-vanila/iqtree3 -s alignment_100000.phy --prefix output_CLANG_TESTS_AA_LG+I+G4_OMP_10_taxa100_run1_tree_1_100000_iqtree3_AA_CLANG_VANILA_OMP10_LG-I-G4_100taxa_100000len_aa -seed 1 -nt 10,143.51861666666667,91.63186666666667,100K,Clang 10T
AA,OMP_10,10000,10,Clang,827.765,8118.491,485.63,-807350.031,102.0,True,LG+I+G4,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-auto/builds/build-clang-vanila/iqtree3 -s alignment_10000.phy --prefix output_CLANG_TESTS_AA_LG+I+G4_OMP_10_taxa100_run1_tree_1_10000_iqtree3_AA_CLANG_VANILA_OMP10_LG-I-G4_100taxa_10000len_aa -seed 1 -nt 10,13.796083333333334,8.093833333333333,10K,Clang 10T
AA,OMP_48,1000000,48,Clang,50570.465,1921563.176,36484.669,-78605196.573,102.0,True,LG+I+G4,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-auto/builds/build-clang-vanila/iqtree3 -s alignment_1000000.phy --prefix output_CLANG_TESTS_AA_LG+I+G4_OMP_48_taxa100_run1_tree_1_1000000_iqtree3_AA_CLANG_VANILA_OMP48_LG-I-G4_100taxa_1000000len_aa -seed 1 -nt 48,842.8410833333332,608.0778166666666,1M,Clang 48T
AA,OMP_48,100000,48,Clang,3407.967,145863.755,2471.316,-7541976.86,102.0,True,LG+I+G4,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-auto/builds/build-clang-vanila/iqtree3 -s alignment_100000.phy --prefix output_CLANG_TESTS_AA_LG+I+G4_OMP_48_taxa100_run1_tree_1_100000_iqtree3_AA_CLANG_VANILA_OMP48_LG-I-G4_100taxa_100000len_aa -seed 1 -nt 48,56.79945,41.188599999999994,100K,Clang 48T
AA,OMP_48,10000,48,Clang,397.886,18148.265,269.703,-807350.031,102.0,True,LG+I+G4,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-auto/builds/build-clang-vanila/iqtree3 -s alignment_10000.phy --prefix output_CLANG_TESTS_AA_LG+I+G4_OMP_48_taxa100_run1_tree_1_10000_iqtree3_AA_CLANG_VANILA_OMP48_LG-I-G4_100taxa_10000len_aa -seed 1 -nt 48,6.631433333333334,4.49505,10K,Clang 48T
DNA,VANILA,100000,1,Clang,12405.368,12349.45,7351.611,-5692984.539,102.0,True,GTR+I+G4,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-auto/builds/build-clang-vanila/iqtree3 -s alignment_100000.phy --prefix output_CLANG_TESTS_DNA_GTR+I+G4_CLANG_VANILA_taxa100_run1_tree_1_100000_iqtree3_DNA_CLANG_VANILA_GTR-I-G4_100taxa_100000len_CLANG_VANILA_run1_tree_1_100000_iqtree -seed 1,206.75613333333334,122.52685,100K,Clang 1T
DNA,VANILA,10000,1,Clang,786.232,781.223,438.497,-564208.776,102.0,True,GTR+I+G4,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-auto/builds/build-clang-vanila/iqtree3 -s alignment_10000.phy --prefix output_CLANG_TESTS_DNA_GTR+I+G4_CLANG_VANILA_taxa100_run1_tree_1_10000_iqtree3_DNA_CLANG_VANILA_GTR-I-G4_100taxa_10000len_CLANG_VANILA_run1_tree_1_10000_iqtree -seed 1,13.103866666666667,7.308283333333334,10K,Clang 1T
