Data Type,Exec Type,Length,Clang Wall (s),GCC Wall (s),Total Speedup,Clang TreeSearch (s),GCC TreeSearch (s),TreeSearch Speedup,Clang LnL,GCC LnL,LnL Diff
AA,VANILA,10K,6217.484,11375.955,1.8296717772011957,3494.261,6326.57,1.8105602300457808,-807350.031,-807350.031,0.0
AA,OMP_10,100K,8611.117,12406.564,1.4407612856729273,5497.912,7872.139,1.4318415791304044,-7541976.86,-7541976.858,-0.0020000003278255463
AA,OMP_10,10K,827.765,1571.782,1.8988263577223004,485.63,771.906,1.589494059263225,-807350.031,-807350.031,0.0
AA,OMP_48,100K,3407.967,4704.677,1.3804937078322648,2471.316,3306.413,1.3379159120080153,-7541976.86,-7541976.86,0.0
AA,OMP_48,10K,397.886,658.14,1.6540918755623468,269.703,422.885,1.567965502793814,-807350.031,-807350.031,0.0
DNA,VANILA,100K,12405.368,9299.013,0.7495959007423239,7351.611,5511.531,0.749703840423548,-5692984.539,-5692984.539,0.0
DNA,VANILA,10K,786.232,898.374,1.142632200164837,438.497,548.577,1.2510393457651934,-564208.776,-564208.776,0.0
DNA,OMP_10,1M,30204.307,29249.823,0.9683990763304055,12629.311,13462.48,1.065971057328464,-59208019.212,-59208019.212,0.0
DNA,OMP_10,100K,1344.825,1429.376,1.0628713773167513,886.545,958.519,1.0811848242334006,-5692984.539,-5692984.539,0.0
DNA,OMP_10,10K,128.683,236.592,1.838564534553904,88.846,163.944,1.8452603381131394,-564208.776,-564208.776,0.0
DNA,OMP_48,1M,12660.557,16874.486,1.3328391475983246,6630.427,8855.097,1.3355243938286327,-59208019.212,-59208019.212,0.0
DNA,OMP_48,100K,656.138,967.299,1.474231030667329,521.357,744.04,1.4271219145422427,-5692984.539,-5692984.539,0.0
DNA,OMP_48,10K,188.134,295.288,1.5695621206161567,150.73,253.312,1.6805679028726865,-564208.776,-564208.776,0.0
