Data Type,Config,Length,Wall Total (sec),Wall Total (min),Wall Total (hm),Command
AA,Clang 10T,100K,8611.1,143.5,2h24m,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-auto/builds/build-clang-vanila/iqtree3 -s alignment_100000.phy --prefix output_CLANG_TESTS_AA_LG+I+G4_OMP_10_taxa100_run1_tree_1_100000_iqtree3_AA_CLANG_VANILA_OMP10_LG-I-G4_100taxa_100000len_aa -seed 1 -nt 10
AA,Clang 1T,100K,69795.4,1163.3,19h23m,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-auto/builds/build-clang-vanila/iqtree3 -s alignment_100000.phy --prefix output_CLANG_TESTS_AA_LG+I+G4_CLANG_VANILA_taxa100_run1_tree_1_100000_iqtree3_AA_CLANG_VANILA_LG-I-G4_100taxa_100000len_CLANG_VANILA_run1_tree_1_100000_aa_iqtree -seed 1
AA,Clang 48T,100K,3408.0,56.8,57m,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-auto/builds/build-clang-vanila/iqtree3 -s alignment_100000.phy --prefix output_CLANG_TESTS_AA_LG+I+G4_OMP_48_taxa100_run1_tree_1_100000_iqtree3_AA_CLANG_VANILA_OMP48_LG-I-G4_100taxa_100000len_aa -seed 1 -nt 48
AA,GCC 10T,100K,12406.6,206.8,3h27m,/scratch/dx61/sa0557/iqtree2/ci-cd-nonrev/builds/build-vanila/iqtree3 -s alignment_100000.phy --prefix output_fulltest_notree_AA_LG+I+G4_OMP_10_taxa100_run1_tree_1_100000_iqtree3_aa -seed 1 -nt 10
AA,GCC 48T,100K,4704.7,78.4,1h18m,/scratch/dx61/sa0557/iqtree2/ci-cd-nonrev/builds/build-vanila/iqtree3 -s alignment_100000.phy --prefix output_fulltest_notree_AA_LG+I+G4_OMP_48_taxa100_run1_tree_1_100000_iqtree3_aa -seed 1 -nt 48
AA,GPU H200,100K,1367.1,22.8,23m,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-less/builds/build-nvhpc-openacc-h200/iqtree3 -s alignment_100000.phy --prefix output_test_cases_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_LG-I-G4_H200_100taxa_100000len_OPENACC_run1_tree_1_100000_aa_iqtree -seed 1
AA,GPU V100,100K,2905.5,48.4,48m,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-less/builds/build-nvhpc-openacc-v100/iqtree3 -s alignment_100000.phy --prefix output_test_cases_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_LG-I-G4_V100_100taxa_100000len_OPENACC_run1_tree_1_100000_aa_iqtree -seed 1
AA,Clang 10T,10K,827.8,13.8,14m,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-auto/builds/build-clang-vanila/iqtree3 -s alignment_10000.phy --prefix output_CLANG_TESTS_AA_LG+I+G4_OMP_10_taxa100_run1_tree_1_10000_iqtree3_AA_CLANG_VANILA_OMP10_LG-I-G4_100taxa_10000len_aa -seed 1 -nt 10
AA,Clang 1T,10K,6217.5,103.6,1h44m,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-auto/builds/build-clang-vanila/iqtree3 -s alignment_10000.phy --prefix output_CLANG_TESTS_AA_LG+I+G4_CLANG_VANILA_taxa100_run1_tree_1_10000_iqtree3_AA_CLANG_VANILA_LG-I-G4_100taxa_10000len_CLANG_VANILA_run1_tree_1_10000_aa_iqtree -seed 1
AA,Clang 48T,10K,397.9,6.6,7m,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-auto/builds/build-clang-vanila/iqtree3 -s alignment_10000.phy --prefix output_CLANG_TESTS_AA_LG+I+G4_OMP_48_taxa100_run1_tree_1_10000_iqtree3_AA_CLANG_VANILA_OMP48_LG-I-G4_100taxa_10000len_aa -seed 1 -nt 48
AA,GCC 10T,10K,1571.8,26.2,26m,/scratch/dx61/sa0557/iqtree2/ci-cd-nonrev/builds/build-vanila/iqtree3 -s alignment_10000.phy --prefix output_fulltest_notree_AA_LG+I+G4_OMP_10_taxa100_run1_tree_1_10000_iqtree3_aa -seed 1 -nt 10
AA,GCC 1T,10K,11376.0,189.6,3h10m,/scratch/dx61/sa0557/iqtree2/ci-cd-nonrev/builds/build-vanila/iqtree3 -s alignment_10000.phy --prefix output_fulltest_notree_AA_LG+I+G4_VANILA_taxa100_run1_tree_1_10000_iqtree3_VANILA_run1_tree_1_10000_aa_iqtree -seed 1
AA,GCC 48T,10K,658.1,11.0,11m,/scratch/dx61/sa0557/iqtree2/ci-cd-nonrev/builds/build-vanila/iqtree3 -s alignment_10000.phy --prefix output_fulltest_notree_AA_LG+I+G4_OMP_48_taxa100_run1_tree_1_10000_iqtree3_aa -seed 1 -nt 48
AA,GPU A100,10K,741.9,12.4,12m,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-less/builds/build-nvhpc-openacc-a100/iqtree3 -s alignment_10000.phy --prefix output_test_cases_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_10000_iqtree3_AA_OPENACC_LG-I-G4_A100_100taxa_10000len_OPENACC_run1_tree_1_10000_aa_iqtree -seed 1
