Data Type,Config,Length,TreeSearch (sec),TreeSearch (min),TreeSearch (hm),Command
AA,Clang 10T,100K,5497.9,91.6,1h32m,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-auto/builds/build-clang-vanila/iqtree3 -s alignment_100000.phy --prefix output_CLANG_TESTS_AA_LG+I+G4_OMP_10_taxa100_run1_tree_1_100000_iqtree3_AA_CLANG_VANILA_OMP10_LG-I-G4_100taxa_100000len_aa -seed 1 -nt 10
AA,Clang 1T,100K,42993.6,716.6,11h57m,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-auto/builds/build-clang-vanila/iqtree3 -s alignment_100000.phy --prefix output_CLANG_TESTS_AA_LG+I+G4_CLANG_VANILA_taxa100_run1_tree_1_100000_iqtree3_AA_CLANG_VANILA_LG-I-G4_100taxa_100000len_CLANG_VANILA_run1_tree_1_100000_aa_iqtree -seed 1
AA,Clang 48T,100K,2471.3,41.2,41m,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-auto/builds/build-clang-vanila/iqtree3 -s alignment_100000.phy --prefix output_CLANG_TESTS_AA_LG+I+G4_OMP_48_taxa100_run1_tree_1_100000_iqtree3_AA_CLANG_VANILA_OMP48_LG-I-G4_100taxa_100000len_aa -seed 1 -nt 48
AA,GCC 10T,100K,7872.1,131.2,2h11m,/scratch/dx61/sa0557/iqtree2/ci-cd-nonrev/builds/build-vanila/iqtree3 -s alignment_100000.phy --prefix output_fulltest_notree_AA_LG+I+G4_OMP_10_taxa100_run1_tree_1_100000_iqtree3_aa -seed 1 -nt 10
AA,GCC 48T,100K,3306.4,55.1,55m,/scratch/dx61/sa0557/iqtree2/ci-cd-nonrev/builds/build-vanila/iqtree3 -s alignment_100000.phy --prefix output_fulltest_notree_AA_LG+I+G4_OMP_48_taxa100_run1_tree_1_100000_iqtree3_aa -seed 1 -nt 48
AA,GPU H200,100K,991.1,16.5,17m,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-less/builds/build-nvhpc-openacc-h200/iqtree3 -s alignment_100000.phy --prefix output_test_cases_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_LG-I-G4_H200_100taxa_100000len_OPENACC_run1_tree_1_100000_aa_iqtree -seed 1
AA,GPU V100,100K,2065.6,34.4,34m,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-less/builds/build-nvhpc-openacc-v100/iqtree3 -s alignment_100000.phy --prefix output_test_cases_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_LG-I-G4_V100_100taxa_100000len_OPENACC_run1_tree_1_100000_aa_iqtree -seed 1
AA,Clang 10T,10K,485.6,8.1,8m,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-auto/builds/build-clang-vanila/iqtree3 -s alignment_10000.phy --prefix output_CLANG_TESTS_AA_LG+I+G4_OMP_10_taxa100_run1_tree_1_10000_iqtree3_AA_CLANG_VANILA_OMP10_LG-I-G4_100taxa_10000len_aa -seed 1 -nt 10
AA,Clang 1T,10K,3494.3,58.2,58m,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-auto/builds/build-clang-vanila/iqtree3 -s alignment_10000.phy --prefix output_CLANG_TESTS_AA_LG+I+G4_CLANG_VANILA_taxa100_run1_tree_1_10000_iqtree3_AA_CLANG_VANILA_LG-I-G4_100taxa_10000len_CLANG_VANILA_run1_tree_1_10000_aa_iqtree -seed 1
AA,Clang 48T,10K,269.7,4.5,4m,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-auto/builds/build-clang-vanila/iqtree3 -s alignment_10000.phy --prefix output_CLANG_TESTS_AA_LG+I+G4_OMP_48_taxa100_run1_tree_1_10000_iqtree3_AA_CLANG_VANILA_OMP48_LG-I-G4_100taxa_10000len_aa -seed 1 -nt 48
