Data Type,Exec Type,Length,Clang LnL,GCC LnL,LnL Diff
AA,OMP_10,100K,-7541976.86,-7541976.858,-0.0020000003278255463
AA,OMP_10,10K,-807350.031,-807350.031,0.0
AA,OMP_48,100K,-7541976.86,-7541976.86,0.0
AA,OMP_48,10K,-807350.031,-807350.031,0.0
AA,VANILA,10K,-807350.031,-807350.031,0.0
DNA,OMP_10,1M,-59208019.212,-59208019.212,0.0
DNA,OMP_10,100K,-5692984.539,-5692984.539,0.0
DNA,OMP_10,10K,-564208.776,-564208.776,0.0
DNA,OMP_48,1M,-59208019.212,-59208019.212,0.0
DNA,OMP_48,100K,-5692984.539,-5692984.539,0.0
DNA,OMP_48,10K,-564208.776,-564208.776,0.0
DNA,VANILA,100K,-5692984.539,-5692984.539,0.0
DNA,VANILA,10K,-564208.776,-564208.776,0.0
