Data Type,Config,Length,TreeSearch (sec),GCC 1T Baseline (sec),Speedup vs GCC 1T
AA,Clang 10T,100K,5497.9,,
AA,Clang 1T,100K,42993.6,,
AA,Clang 48T,100K,2471.3,,
AA,GCC 10T,100K,7872.1,,
AA,GCC 1T,100K,,,
AA,GCC 48T,100K,3306.4,,
AA,GPU A100,100K,1644.4,,
AA,GPU H200,100K,991.1,,
AA,GPU V100,100K,2065.6,,
AA,Clang 10T,10K,485.6,6326.6,13.03
AA,Clang 1T,10K,3494.3,6326.6,1.81
AA,Clang 48T,10K,269.7,6326.6,23.46
AA,GCC 10T,10K,771.9,6326.6,8.2
AA,GCC 1T,10K,6326.6,6326.6,1.0
AA,GCC 48T,10K,422.9,6326.6,14.96
AA,GPU A100,10K,530.7,6326.6,11.92
AA,GPU H200,10K,271.3,6326.6,23.32
AA,GPU V100,10K,412.6,6326.6,15.33
AA,Clang 10T,1M,70168.1,,
AA,Clang 1T,1M,,,
AA,Clang 48T,1M,36484.7,,
AA,GCC 10T,1M,,,
AA,GCC 1T,1M,,,
AA,GCC 48T,1M,,,
AA,GPU A100,1M,,,
AA,GPU H200,1M,,,
AA,GPU V100,1M,,,
DNA,Clang 10T,100K,886.5,5511.5,6.22
DNA,Clang 1T,100K,7351.6,5511.5,0.75
DNA,Clang 48T,100K,521.4,5511.5,10.57
DNA,GCC 10T,100K,958.5,5511.5,5.75
DNA,GCC 1T,100K,5511.5,5511.5,1.0
DNA,GCC 48T,100K,744.0,5511.5,7.41
DNA,GPU A100,100K,540.3,5511.5,10.2
DNA,GPU H200,100K,298.1,5511.5,18.49
DNA,GPU V100,100K,581.9,5511.5,9.47
DNA,Clang 10T,10K,88.8,548.6,6.17
DNA,Clang 1T,10K,438.5,548.6,1.25
DNA,Clang 48T,10K,150.7,548.6,3.64
DNA,GCC 10T,10K,163.9,548.6,3.35
DNA,GCC 1T,10K,548.6,548.6,1.0
DNA,GCC 48T,10K,253.3,548.6,2.17
DNA,GPU A100,10K,435.8,548.6,1.26
DNA,GPU H200,10K,201.6,548.6,2.72
DNA,GPU V100,10K,252.8,548.6,2.17
DNA,Clang 10T,1M,12629.3,66652.1,5.28
DNA,Clang 1T,1M,,66652.1,
DNA,Clang 48T,1M,6630.4,66652.1,10.05
DNA,GCC 10T,1M,13462.5,66652.1,4.95
DNA,GCC 1T,1M,66652.1,66652.1,1.0
DNA,GCC 48T,1M,8855.1,66652.1,7.53
DNA,GPU A100,1M,2472.5,66652.1,26.96
DNA,GPU H200,1M,1571.1,66652.1,42.42
DNA,GPU V100,1M,4102.9,66652.1,16.24
