Data Type,Compiler,Length,Threads,TreeSearch (sec),Baseline 1T (sec),Speedup,Efficiency (%)
AA,Clang,100K,1,42993.6,42993.6,1.0,100.0
AA,Clang,100K,10,5497.9,42993.6,7.82,78.2
AA,Clang,100K,48,2471.3,42993.6,17.4,36.2
AA,Clang,10K,1,3494.3,3494.3,1.0,100.0
AA,Clang,10K,10,485.6,3494.3,7.2,72.0
AA,Clang,10K,48,269.7,3494.3,12.96,27.0
AA,GCC,10K,1,6326.6,6326.6,1.0,100.0
AA,GCC,10K,10,771.9,6326.6,8.2,82.0
AA,GCC,10K,48,422.9,6326.6,14.96,31.2
DNA,Clang,100K,1,7351.6,7351.6,1.0,100.0
DNA,Clang,100K,10,886.5,7351.6,8.29,82.9
DNA,Clang,100K,48,521.4,7351.6,14.1,29.4
DNA,Clang,10K,1,438.5,438.5,1.0,100.0
DNA,Clang,10K,10,88.8,438.5,4.94,49.4
DNA,Clang,10K,48,150.7,438.5,2.91,6.1
DNA,GCC,100K,1,5511.5,5511.5,1.0,100.0
DNA,GCC,100K,10,958.5,5511.5,5.75,57.5
DNA,GCC,100K,48,744.0,5511.5,7.41,15.4
DNA,GCC,10K,1,548.6,548.6,1.0,100.0
DNA,GCC,10K,10,163.9,548.6,3.35,33.5
DNA,GCC,10K,48,253.3,548.6,2.17,4.5
DNA,GCC,1M,1,66652.1,66652.1,1.0,100.0
DNA,GCC,1M,10,13462.5,66652.1,4.95,49.5
DNA,GCC,1M,48,8855.1,66652.1,7.53,15.7
