Data Type,GPU,Length,GPU TreeSearch (sec),Clang 48T TreeSearch (sec),GPU Speedup vs Clang 48T
AA,A100,100K,,2471.3,
AA,H200,100K,991.1,2471.3,2.49
AA,V100,100K,2065.6,2471.3,1.2
AA,A100,10K,530.7,269.7,0.51
AA,H200,10K,271.3,269.7,0.99
AA,V100,10K,412.6,269.7,0.65
AA,A100,1M,,36484.7,
AA,H200,1M,,36484.7,
AA,V100,1M,,36484.7,
DNA,A100,100K,540.3,521.4,0.96
DNA,H200,100K,298.1,521.4,1.75
DNA,V100,100K,581.9,521.4,0.9
DNA,A100,10K,435.8,150.7,0.35
DNA,H200,10K,201.6,150.7,0.75
DNA,V100,10K,252.8,150.7,0.6
DNA,A100,1M,2472.5,6630.4,2.68
DNA,H200,1M,1571.1,6630.4,4.22
DNA,V100,1M,4102.9,6630.4,1.62
