Data Type,Config,Length,Wall Total (min),Tree Search (min),Speedup vs GCC 1T,Best LnL
AA,Clang 10T,100K,143.5,91.6,,-7541976.86
AA,Clang 1T,100K,1163.3,716.6,,-7541976.86
AA,Clang 48T,100K,56.8,41.2,,-7541976.86
AA,GCC 10T,100K,206.8,131.2,,-7541976.858
AA,GCC 48T,100K,78.4,55.1,,-7541976.86
AA,GPU H200,100K,22.8,16.5,,-7541976.86
AA,GPU V100,100K,48.4,34.4,,-7541976.86
AA,Clang 10T,10K,13.8,8.1,13.03,-807350.031
AA,Clang 1T,10K,103.6,58.2,1.81,-807350.031
AA,Clang 48T,10K,6.6,4.5,23.46,-807350.031
AA,GCC 10T,10K,26.2,12.9,8.2,-807350.031
AA,GCC 1T,10K,189.6,105.4,1.0,-807350.031
AA,GCC 48T,10K,11.0,7.0,14.96,-807350.031
AA,GPU A100,10K,12.4,8.8,11.92,-807350.031
AA,GPU H200,10K,6.3,4.5,23.32,-807350.031
AA,GPU V100,10K,9.9,6.9,15.33,-807350.031
AA,Clang 10T,1M,1815.7,1169.5,,-78605196.573
AA,Clang 48T,1M,842.8,608.1,,-78605196.573
DNA,Clang 10T,100K,22.4,14.8,6.22,-5692984.539
DNA,Clang 1T,100K,206.8,122.5,0.75,-5692984.539
DNA,Clang 48T,100K,10.9,8.7,10.57,-5692984.539
DNA,GCC 10T,100K,23.8,16.0,5.75,-5692984.539
DNA,GCC 1T,100K,155.0,91.9,1.0,-5692984.539
DNA,GCC 48T,100K,16.1,12.4,7.41,-5692984.539
DNA,GPU A100,100K,16.0,9.0,10.2,-5692984.529
DNA,GPU H200,100K,8.6,5.0,18.49,-5692984.527
DNA,GPU V100,100K,16.7,9.7,9.47,-5692984.529
DNA,Clang 10T,10K,2.1,1.5,6.17,-564208.776
DNA,Clang 1T,10K,13.1,7.3,1.25,-564208.776
DNA,Clang 48T,10K,3.1,2.5,3.64,-564208.776
DNA,GCC 10T,10K,3.9,2.7,3.35,-564208.776
DNA,GCC 1T,10K,15.0,9.1,1.0,-564208.776
DNA,GCC 48T,10K,4.9,4.2,2.17,-564208.776
DNA,GPU A100,10K,10.8,7.3,1.26,-564208.775
DNA,GPU H200,10K,4.6,3.4,2.72,-564208.776
DNA,GPU V100,10K,6.6,4.2,2.17,-564208.776
DNA,Clang 10T,1M,503.4,210.5,5.28,-59208019.212
DNA,Clang 48T,1M,211.0,110.5,10.05,-59208019.212
DNA,GCC 10T,1M,487.5,224.4,4.95,-59208019.212
DNA,GCC 1T,1M,2677.4,1110.9,1.0,-59208019.212
DNA,GCC 48T,1M,281.2,147.6,7.53,-59208019.212
DNA,GPU A100,1M,75.4,41.2,26.96,-59208019.248
DNA,GPU H200,1M,44.6,26.2,42.42,-59208019.245
DNA,GPU V100,1M,116.3,68.4,16.24,-59208019.245
