data_type,length,length_label,system,hardware,kind,threads,config_label,wall_total_sec,cpu_total_sec,wall_treesearch_sec,wall_total_min,wall_treesearch_min,best_lnl,iterations,completed,model
AA,10000,10K,CLANG_MASTER,CLANG_MASTER,CPU,1,CLX 1T,6715.686,6581.149,3761.025,111.9281,62.68375,-807350.031,102.0,True,LG+I+G4
AA,10000,10K,CLANG_MASTER,CLANG_MASTER,CPU,10,CLX 10T,1091.49,10665.59,624.983,18.1915,10.416383333333332,-807350.031,102.0,True,LG+I+G4
AA,10000,10K,CLANG_MASTER,CLANG_MASTER,CPU,48,CLX 48T,434.698,19881.978,310.151,7.244966666666666,5.169183333333334,-807350.031,102.0,True,LG+I+G4
AA,10000,10K,NORMALSR_MASTER,NORMALSR_MASTER,CPU,1,SPR 1T,7107.426,6990.984,3914.112,118.4571,65.2352,-807350.031,102.0,True,LG+I+G4
AA,10000,10K,NORMALSR_MASTER,NORMALSR_MASTER,CPU,10,SPR 10T,564.442,5538.703,319.465,9.407366666666666,5.324416666666666,-807350.031,102.0,True,LG+I+G4
AA,10000,10K,NORMALSR_MASTER,NORMALSR_MASTER,CPU,48,SPR 48T,372.432,16890.236,236.911,6.2072,3.948516666666667,-807350.031,102.0,True,LG+I+G4
AA,10000,10K,NORMALSR_MASTER,NORMALSR_MASTER,CPU,104,SPR 104T,484.934,46859.766,354.391,8.082233333333333,5.906516666666667,-807350.031,102.0,True,LG+I+G4
AA,10000,10K,GPU_A100,GPU_A100,GPU,1,GPU A100,741.859,619.621,530.709,12.364316666666667,8.845149999999999,-807350.031,102.0,True,LG+I+G4
AA,10000,10K,GPU_H200,GPU_H200,GPU,1,GPU H200,377.02,375.084,271.296,6.283666666666666,4.5216,-807350.031,102.0,True,LG+I+G4
AA,10000,10K,GPU_V100,GPU_V100,GPU,1,GPU V100,593.847,590.843,412.637,9.89745,6.877283333333334,-807350.031,102.0,True,LG+I+G4
AA,100000,100K,CLANG_MASTER,CLANG_MASTER,CPU,1,CLX 1T,62378.945,61927.999,38416.585,1039.6490833333332,640.2764166666667,-7541976.86,102.0,True,LG+I+G4
AA,100000,100K,CLANG_MASTER,CLANG_MASTER,CPU,10,CLX 10T,10393.202,100257.747,6795.731,173.22003333333333,113.26218333333333,-7541976.86,102.0,True,LG+I+G4
AA,100000,100K,CLANG_MASTER,CLANG_MASTER,CPU,48,CLX 48T,3302.703,141282.452,2350.151,55.04505,39.16918333333333,-7541976.86,102.0,True,LG+I+G4
AA,100000,100K,NORMALSR_MASTER,NORMALSR_MASTER,CPU,1,SPR 1T,45937.763,45593.5,28626.104,765.6293833333333,477.1017333333333,-7541976.86,102.0,True,LG+I+G4
AA,100000,100K,NORMALSR_MASTER,NORMALSR_MASTER,CPU,10,SPR 10T,8348.746,81593.611,5603.428,139.14576666666665,93.39046666666668,-7541976.86,102.0,True,LG+I+G4
AA,100000,100K,NORMALSR_MASTER,NORMALSR_MASTER,CPU,48,SPR 48T,2246.251,98954.798,1538.639,37.43751666666667,25.64398333333333,-7541976.86,102.0,True,LG+I+G4
AA,100000,100K,NORMALSR_MASTER,NORMALSR_MASTER,CPU,104,SPR 104T,1424.306,129068.968,1026.614,23.738433333333333,17.110233333333333,-7541976.86,102.0,True,LG+I+G4
AA,100000,100K,GPU_A100,GPU_A100,GPU,1,GPU A100,2272.027,2209.026,1644.446,37.86711666666667,27.407433333333334,-7541976.858,102.0,True,LG+I+G4
