data_type,length,length_label,gpu,gpu_wall_sec,gpu_wall_min,best_cpu_config,best_cpu_wall_sec,best_cpu_wall_min,gpu_speedup_over_best_cpu
AA,10000,10K,V100,593.847,9.89745,SPR 48T,372.432,6.2072,0.6271514379966557
AA,10000,10K,A100,741.859,12.364316666666667,SPR 48T,372.432,6.2072,0.5020253174794671
AA,10000,10K,H200,377.02,6.283666666666666,SPR 48T,372.432,6.2072,0.9878308843032201
AA,100000,100K,V100,2905.543,48.425716666666666,SPR 104T,1424.306,23.738433333333333,0.4902030360590086
AA,100000,100K,A100,2272.027,37.86711666666667,SPR 104T,1424.306,23.738433333333333,0.6268877966679093
AA,100000,100K,H200,1367.078,22.784633333333332,SPR 104T,1424.306,23.738433333333333,1.0418615470368187
AA,1000000,1M,H200,12197.809,203.29681666666664,SPR 104T,29235.971,487.26618333333334,2.3968215111418782
DNA,10000,10K,V100,393.366,6.5561,SPR 10T,103.923,1.73205,0.26418907582251644
DNA,10000,10K,A100,646.964,10.782733333333335,SPR 10T,103.923,1.73205,0.16063181258926307
DNA,10000,10K,H200,275.252,4.587533333333334,SPR 10T,103.923,1.73205,0.37755583973958406
DNA,100000,100K,V100,1000.451,16.674183333333335,SPR 104T,518.547,8.64245,0.5183132407284315
DNA,100000,100K,A100,958.752,15.979199999999999,SPR 104T,518.547,8.64245,0.5408562381095424
DNA,100000,100K,H200,516.057,8.600950000000001,SPR 104T,518.547,8.64245,1.0048250483958168
DNA,1000000,1M,V100,6975.073,116.25121666666668,SPR 104T,5012.118,83.5353,0.7185757052291782
DNA,1000000,1M,A100,4523.878,75.39796666666666,SPR 104T,5012.118,83.5353,1.107925103196859
DNA,1000000,1M,H200,2673.447,44.55745,SPR 104T,5012.118,83.5353,1.8747773941282546
