data_type,length_label,config,best_lnl,lnl_diff_vs_clang1t
AA,10K,CLX 1T,-807350.031,0.0
AA,10K,CLX 10T,-807350.031,0.0
AA,10K,CLX 48T,-807350.031,0.0
AA,10K,SPR 1T,-807350.031,0.0
AA,10K,SPR 10T,-807350.031,0.0
AA,10K,SPR 48T,-807350.031,0.0
AA,10K,SPR 104T,-807350.031,0.0
AA,10K,GPU V100,-807350.031,0.0
AA,10K,GPU A100,-807350.031,0.0
AA,10K,GPU H200,-807350.031,0.0
AA,100K,CLX 1T,-7541976.86,0.0
AA,100K,CLX 10T,-7541976.86,0.0
AA,100K,CLX 48T,-7541976.86,0.0
AA,100K,SPR 1T,-7541976.86,0.0
AA,100K,SPR 10T,-7541976.86,0.0
AA,100K,SPR 48T,-7541976.86,0.0
AA,100K,SPR 104T,-7541976.86,0.0
AA,100K,GPU V100,-7541976.86,0.0
AA,100K,GPU A100,-7541976.858,0.0020000003278255463
AA,100K,GPU H200,-7541976.86,0.0
AA,1M,CLX 48T,-78605196.573,
AA,1M,SPR 10T,-78605196.573,
AA,1M,SPR 48T,-78605196.573,
AA,1M,SPR 104T,-78605196.573,
AA,1M,GPU H200,-78605196.573,
DNA,10K,CLX 1T,-564208.776,0.0
DNA,10K,CLX 10T,-564208.776,0.0
DNA,10K,CLX 48T,-564208.776,0.0
DNA,10K,SPR 1T,-564208.776,0.0
DNA,10K,SPR 10T,-564208.776,0.0
DNA,10K,SPR 48T,-564208.777,-0.0010000000474974513
DNA,10K,SPR 104T,-564208.776,0.0
DNA,10K,GPU V100,-564208.776,0.0
DNA,10K,GPU A100,-564208.775,0.0009999999310821295
DNA,10K,GPU H200,-564208.776,0.0
DNA,100K,CLX 1T,-5692984.539,0.0
DNA,100K,CLX 10T,-5692984.539,0.0
DNA,100K,CLX 48T,-5692984.539,0.0
DNA,100K,SPR 1T,-5692984.539,0.0
DNA,100K,SPR 10T,-5692984.539,0.0
DNA,100K,SPR 48T,-5692984.539,0.0
DNA,100K,SPR 104T,-5692984.539,0.0
DNA,100K,GPU V100,-5692984.529,0.009999999776482582
DNA,100K,GPU A100,-5692984.529,0.009999999776482582
DNA,100K,GPU H200,-5692984.527,0.012000000104308128
DNA,1M,CLX 10T,-59208019.212,
DNA,1M,CLX 48T,-59208019.212,
DNA,1M,SPR 1T,-59208019.212,
DNA,1M,SPR 10T,-59208019.212,
DNA,1M,SPR 48T,-59208019.212,
DNA,1M,SPR 104T,-59208019.212,
DNA,1M,GPU V100,-59208019.245,
DNA,1M,GPU A100,-59208019.248,
DNA,1M,GPU H200,-59208019.245,
