data_type,length,length_label,config,wall_sec,speedup_vs_clx1t
AA,10000,10K,CLX 1T,6715.686,1.0
AA,10000,10K,CLX 10T,1091.49,6.152769150427397
AA,10000,10K,CLX 48T,434.698,15.44908419178372
AA,10000,10K,SPR 1T,7107.426,0.9448829998370717
AA,10000,10K,SPR 10T,564.442,11.897920424064829
AA,10000,10K,SPR 48T,372.432,18.03197899213816
AA,10000,10K,SPR 104T,484.934,13.848659817624664
AA,10000,10K,GPU V100,593.847,11.308781554844934
AA,10000,10K,GPU A100,741.859,9.052509978311242
AA,10000,10K,GPU H200,377.02,17.812545753540928
AA,100000,100K,CLX 1T,62378.945,1.0
AA,100000,100K,CLX 10T,10393.202,6.001898644902697
AA,100000,100K,CLX 48T,3302.703,18.887240239282793
AA,100000,100K,SPR 1T,45937.763,1.357901232587229
AA,100000,100K,SPR 10T,8348.746,7.471654425706568
AA,100000,100K,SPR 48T,2246.251,27.770246958153827
AA,100000,100K,SPR 104T,1424.306,43.79602767944529
AA,100000,100K,GPU V100,2905.543,21.468945735788456
AA,100000,100K,GPU A100,2272.027,27.455195294774224
AA,100000,100K,GPU H200,1367.078,45.6293971521742
DNA,10000,10K,CLX 1T,732.222,1.0
DNA,10000,10K,CLX 10T,129.12,5.670864312267658
DNA,10000,10K,CLX 48T,191.832,3.8169961216064054
DNA,10000,10K,SPR 1T,584.698,1.2523080291022033
DNA,10000,10K,SPR 10T,103.923,7.045812765220403
DNA,10000,10K,SPR 48T,216.048,3.3891635192179512
DNA,10000,10K,SPR 104T,303.553,2.4121718447849303
DNA,10000,10K,GPU V100,393.366,1.8614267628620673
DNA,10000,10K,GPU A100,646.964,1.1317816756419212
DNA,10000,10K,GPU H200,275.252,2.6601877552206705
DNA,100000,100K,CLX 1T,8784.339,1.0
DNA,100000,100K,CLX 10T,1702.284,5.160325186631607
DNA,100000,100K,CLX 48T,639.938,13.726859477011836
DNA,100000,100K,SPR 1T,11886.745,0.7390028977655363
DNA,100000,100K,SPR 10T,1331.094,6.599337837898751
DNA,100000,100K,SPR 48T,606.363,14.486931095729783
DNA,100000,100K,SPR 104T,518.547,16.94029470809782
DNA,100000,100K,GPU V100,1000.451,8.780379049048879
DNA,100000,100K,GPU A100,958.752,9.162264068288776
DNA,100000,100K,GPU H200,516.057,17.02203244990379
