data_type,length,length_label,threads,clx_wall_sec,spr_wall_sec,speedup_spr_over_clx,clx_lnl,spr_lnl,lnl_diff
AA,10000,10K,1,6715.686,7107.426,0.9448829998370717,-807350.031,-807350.031,0.0
AA,10000,10K,10,1091.49,564.442,1.9337505004942934,-807350.031,-807350.031,0.0
AA,10000,10K,48,434.698,372.432,1.1671875671263479,-807350.031,-807350.031,0.0
AA,100000,100K,1,62378.945,45937.763,1.357901232587229,-7541976.86,-7541976.86,0.0
AA,100000,100K,10,10393.202,8348.746,1.2448818062017937,-7541976.86,-7541976.86,0.0
AA,100000,100K,48,3302.703,2246.251,1.4703178763192535,-7541976.86,-7541976.86,0.0
AA,1000000,1M,48,48694.865,36825.726,1.322305634924889,-78605196.573,-78605196.573,0.0
DNA,10000,10K,1,732.222,584.698,1.2523080291022033,-564208.776,-564208.776,0.0
DNA,10000,10K,10,129.12,103.923,1.2424583585924194,-564208.776,-564208.776,0.0
DNA,10000,10K,48,191.832,216.048,0.8879137969340146,-564208.776,-564208.777,-0.0010000000474974513
DNA,100000,100K,1,8784.339,11886.745,0.7390028977655363,-5692984.539,-5692984.539,0.0
DNA,100000,100K,10,1702.284,1331.094,1.2788608467921876,-5692984.539,-5692984.539,0.0
DNA,100000,100K,48,639.938,606.363,1.0553711225783895,-5692984.539,-5692984.539,0.0
DNA,1000000,1M,10,39005.638,28920.797,1.3487055007508957,-59208019.212,-59208019.212,0.0
DNA,1000000,1M,48,13189.629,8851.158,1.4901585758609215,-59208019.212,-59208019.212,0.0
