datatype,length,impl_label,total_wall_s,total_cpu_s,tree_search_wall_s,tree_search_cpu_s,compute_initial_s,init_parsimony_s,iterations,best_score,rapidnj_ll,complete,filename,path
AA,10000,baseline_openacc,276.782,276.69,275.172,275.096,12.088,0.216,102.0,-966826.511,-976147.934,True,output_teesearch_baseline_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_10000_iqtree3_AA_OPENACC_Poisson_100taxa_10000len_OPENACC_run1_tree_1_10000_aa_iqtree.log,/Users/u7826985/Projects/Nvidia/results/2026_05_13_treesearch_opt/AA/len_10000/output_teesearch_baseline_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_10000_iqtree3_AA_OPENACC_Poisson_100taxa_10000len_OPENACC_run1_tree_1_10000_aa_iqtree.log
AA,10000,t1_clang_vanila,873.796,872.99,867.63,866.966,49.964,0.249,102.0,-966826.511,-976147.934,True,output_teesearch_t1_clang_AA_LG+I+G4_CLANG_VANILA_taxa100_run1_tree_1_10000_iqtree3_AA_CLANG_VANILA_Poisson_100taxa_10000len_CLANG_VANILA_run1_tree_1_10000_aa_iqtree.log,/Users/u7826985/Projects/Nvidia/results/2026_05_13_treesearch_opt/AA/len_10000/output_teesearch_t1_clang_AA_LG+I+G4_CLANG_VANILA_taxa100_run1_tree_1_10000_iqtree3_AA_CLANG_VANILA_Poisson_100taxa_10000len_CLANG_VANILA_run1_tree_1_10000_aa_iqtree.log
AA,10000,t1_openacc,280.013,280.012,278.435,278.458,12.254,0.217,102.0,-966826.511,-976147.934,True,output_teesearch_t1_real_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_10000_iqtree3_AA_OPENACC_Poisson_100taxa_10000len_OPENACC_run1_tree_1_10000_aa_iqtree.log,/Users/u7826985/Projects/Nvidia/results/2026_05_13_treesearch_opt/AA/len_10000/output_teesearch_t1_real_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_10000_iqtree3_AA_OPENACC_Poisson_100taxa_10000len_OPENACC_run1_tree_1_10000_aa_iqtree.log
AA,100000,baseline_openacc,1268.936,1261.716,1258.826,1251.786,45.467,3.198,102.0,-9027400.981,-9117687.271,True,output_teesearch_baseline_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_Poisson_100taxa_100000len_OPENACC_run1_tree_1_100000_aa_iqtree.log,/Users/u7826985/Projects/Nvidia/results/2026_05_13_treesearch_opt/AA/len_100000/output_teesearch_baseline_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_Poisson_100taxa_100000len_OPENACC_run1_tree_1_100000_aa_iqtree.log
AA,100000,t1_clang_vanila,,,,,636.096,3.899,,,-9117687.271,False,output_teesearch_t1_clang_AA_LG+I+G4_CLANG_VANILA_taxa100_run1_tree_1_100000_iqtree3_AA_CLANG_VANILA_Poisson_100taxa_100000len_CLANG_VANILA_run1_tree_1_100000_aa_iqtree.log,/Users/u7826985/Projects/Nvidia/results/2026_05_13_treesearch_opt/AA/len_100000/output_teesearch_t1_clang_AA_LG+I+G4_CLANG_VANILA_taxa100_run1_tree_1_100000_iqtree3_AA_CLANG_VANILA_Poisson_100taxa_100000len_CLANG_VANILA_run1_tree_1_100000_aa_iqtree.log
AA,100000,t1_openacc,1245.703,1239.185,1236.044,1229.679,44.466,3.129,102.0,-9027400.981,-9117687.271,True,output_teesearch_t1_real_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_Poisson_100taxa_100000len_OPENACC_run1_tree_1_100000_aa_iqtree.log,/Users/u7826985/Projects/Nvidia/results/2026_05_13_treesearch_opt/AA/len_100000/output_teesearch_t1_real_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_Poisson_100taxa_100000len_OPENACC_run1_tree_1_100000_aa_iqtree.log
AA,1000000,baseline_openacc,,,,,,107.934,,,-94789915.14,False,output_teesearch_baseline_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_1000000_iqtree3_AA_OPENACC_Poisson_100taxa_1000000len_OPENACC_run1_tree_1_1000000_aa_iqtree.log,/Users/u7826985/Projects/Nvidia/results/2026_05_13_treesearch_opt/AA/len_1000000/output_teesearch_baseline_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_1000000_iqtree3_AA_OPENACC_Poisson_100taxa_1000000len_OPENACC_run1_tree_1_1000000_aa_iqtree.log
AA,1000000,t1_clang_vanila,,,,,,133.628,,,-94789915.14,False,output_teesearch_t1_clang_AA_LG+I+G4_CLANG_VANILA_taxa100_run1_tree_1_1000000_iqtree3_AA_CLANG_VANILA_Poisson_100taxa_1000000len_CLANG_VANILA_run1_tree_1_1000000_aa_iqtree.log,/Users/u7826985/Projects/Nvidia/results/2026_05_13_treesearch_opt/AA/len_1000000/output_teesearch_t1_clang_AA_LG+I+G4_CLANG_VANILA_taxa100_run1_tree_1_1000000_iqtree3_AA_CLANG_VANILA_Poisson_100taxa_1000000len_CLANG_VANILA_run1_tree_1_1000000_aa_iqtree.log
AA,1000000,t1_openacc,,,,,279.822,104.926,,,-94789915.14,False,output_teesearch_t1_real_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_1000000_iqtree3_AA_OPENACC_Poisson_100taxa_1000000len_OPENACC_run1_tree_1_1000000_aa_iqtree.log,/Users/u7826985/Projects/Nvidia/results/2026_05_13_treesearch_opt/AA/len_1000000/output_teesearch_t1_real_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_1000000_iqtree3_AA_OPENACC_Poisson_100taxa_1000000len_OPENACC_run1_tree_1_1000000_aa_iqtree.log
DNA,10000,baseline_openacc,194.01,194.006,192.905,192.911,8.345,0.062,102.0,-616191.885,-625572.75,True,output_teesearch_baseline_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_10000_iqtree3_DNA_OPENACC_JC_100taxa_10000len_OPENACC_run1_tree_1_10000_iqtree.log,/Users/u7826985/Projects/Nvidia/results/2026_05_13_treesearch_opt/DNA/len_10000/output_teesearch_baseline_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_10000_iqtree3_DNA_OPENACC_JC_100taxa_10000len_OPENACC_run1_tree_1_10000_iqtree.log
DNA,10000,t1_clang_vanila,136.505,136.009,135.278,134.857,8.896,0.088,102.0,-616191.885,-625572.75,True,output_teesearch_t1_clang_DNA_GTR+I+G4_CLANG_VANILA_taxa100_run1_tree_1_10000_iqtree3_DNA_CLANG_VANILA_JC_100taxa_10000len_CLANG_VANILA_run1_tree_1_10000_iqtree.log,/Users/u7826985/Projects/Nvidia/results/2026_05_13_treesearch_opt/DNA/len_10000/output_teesearch_t1_clang_DNA_GTR+I+G4_CLANG_VANILA_taxa100_run1_tree_1_10000_iqtree3_DNA_CLANG_VANILA_JC_100taxa_10000len_CLANG_VANILA_run1_tree_1_10000_iqtree.log
DNA,10000,t1_openacc,190.225,190.209,189.14,189.133,8.177,0.061,102.0,-616191.885,-625572.75,True,output_teesearch_t1_real_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_10000_iqtree3_DNA_OPENACC_JC_100taxa_10000len_OPENACC_run1_tree_1_10000_iqtree.log,/Users/u7826985/Projects/Nvidia/results/2026_05_13_treesearch_opt/DNA/len_10000/output_teesearch_t1_real_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_10000_iqtree3_DNA_OPENACC_JC_100taxa_10000len_OPENACC_run1_tree_1_10000_iqtree.log
DNA,100000,baseline_openacc,308.077,305.708,304.304,302.03,9.9,0.407,102.0,-6102417.191,-6148148.225,True,output_teesearch_baseline_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_DNA_OPENACC_JC_100taxa_100000len_OPENACC_run1_tree_1_100000_iqtree.log,/Users/u7826985/Projects/Nvidia/results/2026_05_13_treesearch_opt/DNA/len_100000/output_teesearch_baseline_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_DNA_OPENACC_JC_100taxa_100000len_OPENACC_run1_tree_1_100000_iqtree.log
DNA,100000,t1_clang_vanila,1437.136,1431.44,1422.182,1416.816,149.243,1.023,102.0,-6102417.191,-6148148.225,True,output_teesearch_t1_clang_DNA_GTR+I+G4_CLANG_VANILA_taxa100_run1_tree_1_100000_iqtree3_DNA_CLANG_VANILA_JC_100taxa_100000len_CLANG_VANILA_run1_tree_1_100000_iqtree.log,/Users/u7826985/Projects/Nvidia/results/2026_05_13_treesearch_opt/DNA/len_100000/output_teesearch_t1_clang_DNA_GTR+I+G4_CLANG_VANILA_taxa100_run1_tree_1_100000_iqtree3_DNA_CLANG_VANILA_JC_100taxa_100000len_CLANG_VANILA_run1_tree_1_100000_iqtree.log
