data_type,length_label,gpu,gpu_wall_min,gpu_ts_min,cpu_ref,cpu_wall_min,cpu_ts_min,speedup_wall,speedup_ts,gpu_lnl,cpu_lnl
AA,100K,A100,37.86711666666667,27.407433333333334,SPR 103T speed,19.4926,12.741299999999999,0.5147632488522363,0.46488483051434953,-7541976.858,-7541976.86
AA,100K,H200,22.78463333333333,16.517933333333335,SPR 103T speed,19.4926,12.741299999999999,0.8555151937197439,0.7713616311968002,-7541976.86,-7541976.86
AA,100K,V100,48.425716666666666,34.4263,SPR 103T speed,19.4926,12.741299999999999,0.402525792941285,0.37010367074010275,-7541976.86,-7541976.86
AA,1M,H200,203.29681666666664,144.96888333333334,SPR 103T speed,379.6037666666667,251.64341666666667,1.8672391082693622,1.7358443472869407,-78605196.573,-78605196.573
DNA,100K,A100,15.9792,9.005483333333332,SPR 103T speed,4.818683333333333,3.7741166666666666,0.3015597359901205,0.4190909612476843,-5692984.529,-5692984.539
DNA,100K,H200,8.600950000000001,4.968166666666666,SPR 103T speed,4.818683333333333,3.7741166666666666,0.5602501274084064,0.7596598342782382,-5692984.527,-5692984.539
DNA,100K,V100,16.674183333333335,9.698200000000002,SPR 103T speed,4.818683333333333,3.7741166666666666,0.2889906652099903,0.3891564070308579,-5692984.529,-5692984.539
DNA,1M,A100,75.39796666666666,41.20791666666666,SPR 103T speed,101.9075,43.283249999999995,1.3515948042807522,1.0503624910261984,-59208019.248,-59208019.212
DNA,1M,H200,44.55745,26.18445,SPR 103T speed,101.9075,43.283249999999995,2.287103503454529,1.6530135252029352,-59208019.245,-59208019.212
DNA,1M,V100,116.25121666666668,68.38235,SPR 103T speed,101.9075,43.283249999999995,0.8766144813108049,0.6329593820627691,-59208019.245,-59208019.212
DNA,10M,H200,840.2683666666667,435.31415,SPR 103T speed,2387.9488666666666,1140.0808333333334,2.841888331628653,2.618984090761427,-578953758.649,-578953763.91
