data_type,length,length_label,hw,threads,build,config_label,wall_total_sec,wall_treesearch_sec,wall_total_min,wall_treesearch_min,best_lnl,iterations
AA,100000,100K,CLX,48.0,master (Clang),CLX 48T,3302.703,2350.151,55.04505,39.16918333333333,-7541976.86,102.0
AA,100000,100K,SPR,1.0,master (Clang),SPR 1T,45937.763,28626.104,765.6293833333333,477.1017333333333,-7541976.86,102.0
AA,100000,100K,SPR,10.0,master (Clang),SPR 10T,8348.746,5603.428,139.14576666666665,93.39046666666668,-7541976.86,102.0
AA,100000,100K,SPR,48.0,master (Clang),SPR 48T,2246.251,1538.639,37.43751666666667,25.64398333333333,-7541976.86,102.0
AA,100000,100K,SPR,104.0,master (Clang),SPR 104T,1424.306,1026.614,23.738433333333333,17.110233333333333,-7541976.86,102.0
AA,1000000,1M,CLX,48.0,master (Clang),CLX 48T,48694.865,35386.297,811.5810833333333,589.7716166666667,-78605196.573,102.0
AA,1000000,1M,SPR,10.0,master (Clang),SPR 10T,92611.276,59202.886,1543.5212666666666,986.7147666666666,-78605196.573,102.0
AA,1000000,1M,SPR,48.0,master (Clang),SPR 48T,36825.726,25537.946,613.7621,425.6324333333333,-78605196.573,102.0
AA,1000000,1M,SPR,104.0,master (Clang),SPR 104T,29235.971,22002.277,487.2661833333333,366.70461666666665,-78605196.573,102.0
DNA,100000,100K,CLX,48.0,master (Clang),CLX 48T,639.938,500.806,10.665633333333334,8.346766666666666,-5692984.539,102.0
DNA,100000,100K,SPR,1.0,master (Clang),SPR 1T,11886.745,7627.512,198.1124166666667,127.1252,-5692984.539,102.0
DNA,100000,100K,SPR,10.0,master (Clang),SPR 10T,1331.094,923.264,22.184900000000003,15.387733333333331,-5692984.539,102.0
DNA,100000,100K,SPR,48.0,master (Clang),SPR 48T,606.363,437.037,10.106050000000002,7.28395,-5692984.539,102.0
DNA,100000,100K,SPR,104.0,master (Clang),SPR 104T,518.547,408.803,8.64245,6.813383333333333,-5692984.539,102.0
DNA,1000000,1M,CLX,48.0,master (Clang),CLX 48T,13189.629,7125.298,219.82715,118.75496666666666,-59208019.212,102.0
DNA,1000000,1M,SPR,1.0,master (Clang),SPR 1T,128218.893,53953.899,2136.98155,899.23165,-59208019.212,102.0
DNA,1000000,1M,SPR,10.0,master (Clang),SPR 10T,28920.797,13952.68,482.0132833333333,232.54466666666667,-59208019.212,102.0
DNA,1000000,1M,SPR,48.0,master (Clang),SPR 48T,8851.158,4952.091,147.5193,82.53485,-59208019.212,102.0
DNA,1000000,1M,SPR,104.0,master (Clang),SPR 104T,5012.118,3004.801,83.5353,50.080016666666666,-59208019.212,102.0
AA,100000,100K,CLX,47.0,speed_cpus (Intel),CLX 47T (speed),3460.813,2337.367,57.68021666666667,38.95611666666667,-7541976.86,102.0
AA,100000,100K,SPR,103.0,speed_cpus (Intel),SPR 103T (speed),1169.556,764.478,19.4926,12.7413,-7541976.86,102.0
