data_type,length,gpu,wall_total_sec,best_cpu_config,best_cpu_wall_sec,gpu_speedup_vs_best_cpu,best_lnl,best_cpu_lnl
AA,100000,A100,2116.696,SPR 104T,1424.306,0.6728911473352811,-7541976.858,-7541976.86
AA,100000,H200,1289.222,SPR 104T,1424.306,1.1047794716503443,-7541976.86,-7541976.86
AA,100000,V100,2594.952,SPR 104T,1424.306,0.548875663210726,-7541976.86,-7541976.86
AA,1000000,A100,17991.352,SPR 104T,29235.971,1.625001333974234,-78605196.573,-78605196.573
AA,1000000,H200,12160.531,SPR 104T,29235.971,2.4041689462409166,-78605196.573,-78605196.573
AA,1000000,V100,33600.214,SPR 104T,29235.971,0.870112642734954,-78605196.573,-78605196.573
DNA,100000,A100,776.271,SPR 104T,518.547,0.6679973875102897,-5692984.529,-5692984.539
DNA,100000,H200,470.986,SPR 104T,518.547,1.1009817701587734,-5692984.527,-5692984.539
DNA,100000,V100,911.262,SPR 104T,518.547,0.5690427121947366,-5692984.529,-5692984.539
DNA,1000000,A100,3852.509,SPR 104T,5012.118,1.3010009840340413,-59208019.248,-59208019.212
DNA,1000000,H200,2526.856,SPR 104T,5012.118,1.9835392281950377,-59208019.245,-59208019.212
DNA,1000000,V100,6803.995,SPR 104T,5012.118,0.7366433984739849,-59208019.245,-59208019.212
