data_type,length,gpu,baseline_wall_sec,opt_wall_sec,speedup_total,baseline_tree_sec,opt_tree_sec,speedup_treesearch,baseline_lnl,opt_lnl,lnl_diff
AA,100000,A100,2272.027,2116.696,1.0733837074383852,1644.446,1516.194,1.084588119989922,-7541976.858,-7541976.858,0.0
AA,100000,H200,1367.078,1289.222,1.0603899095733706,991.076,930.025,1.0656444719227978,-7541976.86,-7541976.86,0.0
AA,100000,V100,2905.543,2594.952,1.119690460555725,2065.578,1843.033,1.1207493300445517,-7541976.86,-7541976.86,0.0
AA,1000000,A100,,17991.352,,,12698.446,,,-78605196.573,
AA,1000000,H200,12197.809,12160.531,1.0030654911368588,8698.133,8857.07,0.9820553523908019,-78605196.573,-78605196.573,0.0
AA,1000000,V100,,33600.214,,,26782.879,,,-78605196.573,
DNA,100000,A100,958.752,776.271,1.2350738337513574,540.329,396.237,1.3636510472267858,-5692984.529,-5692984.529,0.0
DNA,100000,H200,516.057,470.986,1.0956949888107077,298.09,247.062,1.2065392492572713,-5692984.527,-5692984.527,0.0
DNA,100000,V100,1000.451,911.262,1.0978741569383998,581.892,510.268,1.1403654550157958,-5692984.529,-5692984.529,0.0
DNA,1000000,A100,4523.878,3852.509,1.174267990029355,2472.475,2141.864,1.1543566725058172,-59208019.248,-59208019.248,0.0
DNA,1000000,H200,2673.447,2526.856,1.0580131990109447,1571.067,1498.631,1.0483347802094043,-59208019.245,-59208019.245,0.0
DNA,1000000,V100,6975.073,6803.995,1.0251437574542603,4102.941,4041.296,1.0152537700777176,-59208019.245,-59208019.245,0.0
