data_type,length,gpu,baseline_wall_min,opt_wall_min,speedup_total,best_cpu_config,best_cpu_wall_min,speedup_vs_best_cpu,opt_lnl,baseline_lnl,best_cpu_lnl
AA,100000,A100,37.86711666666667,35.27826666666667,1.0733837074383852,SPR 104T,23.738433333333333,0.6728911473352811,-7541976.858,-7541976.858,-7541976.86
AA,100000,H200,22.784633333333332,21.487033333333333,1.0603899095733706,SPR 104T,23.738433333333333,1.1047794716503443,-7541976.86,-7541976.86,-7541976.86
AA,100000,V100,48.425716666666666,43.2492,1.119690460555725,SPR 104T,23.738433333333333,0.548875663210726,-7541976.86,-7541976.86,-7541976.86
AA,1000000,A100,,299.85586666666666,,SPR 104T,487.26618333333334,1.625001333974234,-78605196.573,,-78605196.573
AA,1000000,H200,203.29681666666664,202.67551666666668,1.0030654911368588,SPR 104T,487.26618333333334,2.4041689462409166,-78605196.573,-78605196.573,-78605196.573
AA,1000000,V100,,560.0035666666666,,SPR 104T,487.26618333333334,0.870112642734954,-78605196.573,,-78605196.573
DNA,100000,A100,15.979199999999999,12.93785,1.2350738337513574,SPR 104T,8.64245,0.6679973875102897,-5692984.529,-5692984.529,-5692984.539
DNA,100000,H200,8.600950000000001,7.849766666666667,1.0956949888107077,SPR 104T,8.64245,1.1009817701587734,-5692984.527,-5692984.527,-5692984.539
DNA,100000,V100,16.674183333333335,15.1877,1.0978741569383998,SPR 104T,8.64245,0.5690427121947366,-5692984.529,-5692984.529,-5692984.539
DNA,1000000,A100,75.39796666666666,64.20848333333333,1.174267990029355,SPR 104T,83.5353,1.3010009840340413,-59208019.248,-59208019.248,-59208019.212
DNA,1000000,H200,44.55745,42.11426666666667,1.0580131990109447,SPR 104T,83.5353,1.9835392281950377,-59208019.245,-59208019.245,-59208019.212
DNA,1000000,V100,116.25121666666668,113.39991666666667,1.0251437574542603,SPR 104T,83.5353,0.7366433984739849,-59208019.245,-59208019.245,-59208019.212
