datatype,length,gpu,time_s,total_energy_Wh,cpu_energy_Wh,gpu_energy_Wh,cpu_share_pct,gpu_share_pct,gpu_util_pct
AA,10000,H200,400,54.0,34.344,19.656,63.6,36.4,48.7
AA,10000,V100,607,51.4,30.583,20.817,59.5,40.5,53.5
AA,100000,H200,1372,278.0,163.464,114.536,58.8,41.2,70.4
AA,100000,V100,2733,261.0,133.632,127.368,51.2,48.8,72.8
AA,1000000,H200,12269,2100.0,942.9,1157.1,44.9,55.1,65.2
DNA,10000,H200,289,38.5,28.259,10.241,73.4,26.6,39.4
DNA,10000,V100,417,33.3,25.174799999999998,8.1252,75.6,24.4,36.8
DNA,100000,H200,561,96.8,68.8248,27.9752,71.1,28.9,43.3
DNA,100000,V100,1038,76.6,41.0576,35.5424,53.6,46.4,58.4
DNA,1000000,H200,2817,476.0,243.712,232.288,51.2,48.8,47.5
