datatype,length,gpu,time_s,cpu_energy_J,cpu_avg_W,gpu_energy_J,gpu_avg_W,gpu_peak_MB,cpu_energy_Wh,gpu_energy_Wh,total_energy_Wh,cpu_share_pct,gpu_share_pct
AA,100000,A100,2116.696,88387.382,41.723,459126.542,216.728,24272.812,24.552050555555557,127.53515055555556,152.0872011111111,16.1434035054787,83.8565964945213
AA,100000,H200,1289.222,360003.343,278.984,396794.331,307.495,24146.688,100.0009286111111,110.2206475,210.22157611111112,47.56929829041731,52.43070170958268
AA,100000,V100,2594.952,459313.34,176.893,462805.527,178.238,23857.25,127.5870388888889,128.55709083333335,256.14412972222226,49.8106433386749,50.18935666132509
AA,1000000,A100,17991.352,108097.018,6.003,4436088.648,246.346,80784.812,30.026949444444444,1232.2468466666667,1262.273796111111,2.3787984458643816,97.62120155413562
AA,1000000,H200,12160.531,184800.298,15.182,4173643.09,342.884,138076.688,51.33341611111111,1159.3453027777778,1210.6787188888889,4.240052733248901,95.75994726675111
AA,1000000,V100,33600.214,328021.552,9.757,6251311.983,185.951,10725.25,91.11709777777779,1736.4755508333333,1827.5926486111111,4.985634946990113,95.01436505300988
DNA,100000,A100,776.271,46632.892,59.952,108437.761,139.409,5040.812,12.953581111111111,30.121600277777777,43.075181388888886,30.072029167246754,69.92797083275325
DNA,100000,H200,470.986,168914.678,357.828,90565.704,191.854,5128.688,46.92074388888889,25.15714,72.07788388888889,65.09728276876054,34.90271723123947
DNA,100000,V100,911.262,144262.548,158.064,122219.948,133.913,4625.25,40.07293,33.94998555555556,74.02291555555556,54.13584387921674,45.864156120783264
DNA,1000000,A100,3852.509,40555.835,10.484,871991.827,225.407,71934.812,11.265509722222221,242.21995194444446,253.48546166666668,4.444242935335031,95.55575706466497
DNA,1000000,H200,2526.856,271032.305,106.781,786493.929,309.861,71808.688,75.28675138888889,218.47053583333334,293.7572872222222,25.62889659718834,74.37110340281167
DNA,1000000,V100,6803.995,526423.27,77.184,1037185.344,152.071,29647.25,146.2286861111111,288.10704,434.33572611111106,33.66720196387969,66.33279803612031
