datatype,length,gpu,time_s_forge,time_s_opt,delta_time_pct,total_energy_Wh_forge,total_energy_Wh_opt,delta_total_energy_pct,cpu_energy_Wh_forge,cpu_energy_Wh_opt,delta_cpu_energy_pct,gpu_energy_Wh_forge,gpu_energy_Wh_opt,delta_gpu_energy_pct,cpu_share_pct_forge,cpu_share_pct_opt
AA,10000,H200,400.0,,,54.0,,,34.344,,,19.656,,,63.6,
AA,10000,V100,607.0,,,51.4,,,30.583,,,20.817,,,59.5,
AA,100000,A100,,2116.696,,,152.0872011111111,,,24.552050555555557,,,127.53515055555556,,,16.1434035054787
AA,100000,H200,1372.0,1289.222,-6.0333819241982525,278.0,210.22157611111112,-24.38072801758593,163.464,100.0009286111111,-38.82388256061817,114.536,110.2206475,-3.7676822134525416,58.8,47.56929829041731
AA,100000,V100,2733.0,2594.952,-5.051152579582868,261.0,256.14412972222226,-1.860486696466567,133.632,127.5870388888889,-4.523587996221793,127.368,128.55709083333335,0.9335867983585774,51.2,49.8106433386749
AA,1000000,A100,,17991.352,,,1262.273796111111,,,30.026949444444444,,,1232.2468466666667,,,2.3787984458643816
AA,1000000,H200,12269.0,12160.531,-0.8840899828836836,2100.0,1210.6787188888889,-42.348632433862434,942.9,51.33341611111111,-94.55579423999245,1157.1,1159.3453027777778,0.19404569853753798,44.9,4.240052733248901
AA,1000000,V100,,33600.214,,,1827.5926486111111,,,91.11709777777779,,,1736.4755508333333,,,4.985634946990113
DNA,10000,H200,289.0,,,38.5,,,28.259,,,10.241,,,73.4,
DNA,10000,V100,417.0,,,33.3,,,25.174799999999998,,,8.1252,,,75.6,
DNA,100000,A100,,776.271,,,43.075181388888886,,,12.953581111111111,,,30.121600277777777,,,30.072029167246754
DNA,100000,H200,561.0,470.986,-16.045276292335117,96.8,72.07788388888889,-25.539376147842052,68.8248,46.92074388888889,-31.8258187617125,27.9752,25.15714,-10.073422173925486,71.1,65.09728276876054
DNA,100000,V100,1038.0,911.262,-12.209826589595382,76.6,74.02291555555556,-3.3643400058021387,41.0576,40.07293,-2.398264876661084,35.5424,33.94998555555556,-4.4803233446375135,53.6,54.13584387921674
DNA,1000000,A100,,3852.509,,,253.48546166666668,,,11.265509722222221,,,242.21995194444446,,,4.444242935335031
DNA,1000000,H200,2817.0,2526.856,-10.299751508697188,476.0,293.7572872222222,-38.28628419701214,243.712,75.28675138888889,-69.10831170033117,232.288,218.47053583333334,-5.948419275497084,51.2,25.62889659718834
DNA,1000000,V100,,6803.995,,,434.33572611111106,,,146.2286861111111,,,288.10704,,,33.66720196387969
