datatype,variant,threads,iteration,logL,wall_s
AA,single,1,10,-7541977.052,1307
AA,single,1,20,-7542067.775,1433
AA,single,1,30,-7542053.424,1576
AA,single,1,40,-7542013.043,1719
AA,single,1,50,-7541978.815,1859
AA,single,1,60,-7541978.829,2009
AA,single,1,70,-7541978.215,2150
AA,single,1,80,-7541977.22,2287
AA,single,1,90,-7541976.963,2435
AA,single,1,100,-7541976.942,2586
AA,openmp_nt12,12,10,-7541977.052,2075
AA,openmp_nt12,12,20,-7542067.775,2202
AA,openmp_nt12,12,30,-7542053.424,2347
AA,openmp_nt12,12,40,-7542013.043,2491
AA,openmp_nt12,12,50,-7541978.815,2631
AA,openmp_nt12,12,60,-7541978.829,2783
AA,openmp_nt12,12,70,-7541978.215,2924
AA,openmp_nt12,12,80,-7541977.22,3061
AA,openmp_nt12,12,90,-7541976.963,3210
AA,openmp_nt12,12,100,-7541976.942,3362
DNA,single,1,10,-5693008.565,523
DNA,single,1,20,-5692988.96,548
DNA,single,1,30,-5692995.824,593
DNA,single,1,40,-5692991.571,637
DNA,single,1,50,-5692986.795,681
DNA,single,1,60,-5693033.07,725
DNA,single,1,70,-5693130.655,769
DNA,single,1,80,-5693037.901,814
DNA,single,1,90,-5692995.158,860
DNA,single,1,100,-5693005.834,905
