sm,rep,pct,log,mf_wall_s,ts_wall_s,wall_s,cpu_s,best_logL,mf_cpu_J,mf_gpu_J,ts_cpu_J,ts_gpu_J,cpu_J,gpu_J,gpu_mem_peak_MB,complete,measured_W,total_J,gpu_W,cpu_W
1,1,0.7576,/Users/u7826985/Projects/Nvidia/results/sm_sweep/sm_1/sm_1_rep1.log,3235.11,7944.748,11229.209,11216.059,-7541976.86,974638.416,476699.463,2188871.226,1162010.423,3177057.12,1646076.838,23816.75,True,146.6455351712135,4823133.958000001,146.58885038118,282.92795334025755
1,2,0.7576,/Users/u7826985/Projects/Nvidia/results/sm_sweep/sm_1/sm_1_rep2.log,3241.375,,,,,894616.751,477331.317,,,,,,False,146.6750626261456,,,
2,1,1.5152,/Users/u7826985/Projects/Nvidia/results/sm_sweep/sm_2/sm_2_rep1.log,3239.766,7961.889,11251.139,11234.503,-7541976.86,999108.441,476361.51,3032501.463,1162781.239,4050343.403,1646575.856,23816.75,True,146.40262065943503,5696919.259,146.3474814416567,359.9940773107505
2,2,1.5152,/Users/u7826985/Projects/Nvidia/results/sm_sweep/sm_2/sm_2_rep2.log,3244.022,,,,,1211011.89,476773.797,,,,,,False,147.02449317104896,,,
4,1,3.0303,/Users/u7826985/Projects/Nvidia/results/sm_sweep/sm_4/sm_4_rep1.log,3279.721,,,,,866904.392,475109.873,,,,,,False,144.36163667109554,,,
8,1,6.0606,/Users/u7826985/Projects/Nvidia/results/sm_sweep/sm_8/sm_8_rep1.log,3235.083,,,,,862141.15,475823.545,,,,,,False,146.51068283220172,,,
16,1,12.1212,/Users/u7826985/Projects/Nvidia/results/sm_sweep/sm_16/sm_16_rep1.log,1932.743,,,,,555134.535,309430.422,,,,,,False,159.07036208141278,,,
33,1,25.0,/Users/u7826985/Projects/Nvidia/results/sm_sweep/sm_33/sm_33_rep1.log,948.828,2262.604,3227.099,3215.725,-7541976.86,313113.154,190473.465,745674.275,448515.895,1064365.237,642138.396,23902.75,True,198.94718283058302,1706503.633,198.98317219273406,329.82106746647685
33,2,25.0,/Users/u7826985/Projects/Nvidia/results/sm_sweep/sm_33/sm_33_rep2.log,947.844,,,,,286541.216,190335.029,,,,,,False,199.27636735243914,,,
66,1,50.0,/Users/u7826985/Projects/Nvidia/results/sm_sweep/sm_66/sm_66_rep1.log,548.405,1270.879,1828.85,1817.792,-7541976.86,141932.944,140675.516,329061.853,323919.474,473777.597,466982.448,24032.75,True,255.14564043337185,940760.0449999999,255.34212647292014,259.0576575443585
66,2,50.0,/Users/u7826985/Projects/Nvidia/results/sm_sweep/sm_66/sm_66_rep2.log,547.158,1268.844,1825.696,1814.706,-7541976.86,141791.754,140519.645,333527.915,323517.337,478080.8,466444.613,24032.75,True,255.3991341967484,944525.413,255.48865364222743,261.8622158343996
66,3,50.0,/Users/u7826985/Projects/Nvidia/results/sm_sweep/sm_66/sm_66_rep3.log,547.744,,,,,146477.696,140380.597,,,,,,False,255.0652808537495,,,
132,1,100.0,/Users/u7826985/Projects/Nvidia/results/sm_sweep/sm_132/sm_132_rep1.log,360.53,802.343,1169.649,1158.334,-7541976.86,96576.511,114661.536,213336.412,257600.558,311969.912,374223.059,24274.75,True,319.63407391491194,686192.971,319.9447518016089,266.7209667173657
132,2,100.0,/Users/u7826985/Projects/Nvidia/results/sm_sweep/sm_132/sm_132_rep2.log,360.676,801.587,1169.115,1158.092,-7541976.86,96129.707,115006.13,214358.091,257796.787,312591.567,374822.53,24274.75,True,320.4235713056941,687414.0970000001,320.60364463718287,267.3745243196777
132,3,100.0,/Users/u7826985/Projects/Nvidia/results/sm_sweep/sm_132/sm_132_rep3.log,360.983,802.177,1170.087,1158.752,-7541976.86,96778.282,115001.14,215176.729,257813.596,314085.536,374798.779,24274.75,True,320.140006015296,688884.315,320.3170183071857,268.4292159471903
