run,hardware,test,datatype,sites,complete,wall_total_s,cpu_total_s,wall_ts_s,cpu_ts_s,wall_mf_explicit_s,cpu_mf_explicit_s,is_resumed,best_logL,energy_cpu_J,energy_gpu_J,energy_total_J,e_ts_cpu_J,e_ts_gpu_J,e_mf_cpu_J,e_mf_gpu_J,gpu_name,gpu_mem_peak_MB,gpu_mem_cap_MB,gpu_mem_delta_MB,cpu_mem_peak_MB,cpu_mem_cap_MB,mf_required_MB,mem_flag,lm_save_gpu_GB,lm_save_gpu_pct,lm_save_cpu_GB,lm_save_cpu_pct,avg_power_W,cpu_share,wall_mf_s
output_more_tests_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_10000000_iqtree3_AA_INTEL_VANILA_OMP104_LG-I-G4_100taxa_10000000len_ninit2_LGC10_aa,CPU_SPR_OMP104,LGC10,AA,10000000,False,,,,,,,False,,,,,,,,,,,,,,515072.0,,,,,558.314,110.0,,,
output_more_tests_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_10000000_iqtree3_AA_INTEL_VANILA_OMP104_LG-I-G4_100taxa_10000000len_ninit2_MTEST_aa,CPU_SPR_OMP104,MTEST,AA,10000000,False,,,,,,,False,,,,,,,,,,,,,,515072.0,,,,,,,,,
output_more_tests_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_10000000_iqtree3_AA_INTEL_VANILA_OMP104_LG-I-G4_100taxa_10000000len_ninit2_UFBOOT1000_aa,CPU_SPR_OMP104,UFBOOT1000,AA,10000000,False,,,,,,,False,,,,,,,,,,,,,,515072.0,,,,,,,,,
output_more_tests_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_1000000_iqtree3_AA_INTEL_VANILA_OMP104_LG-I-G4_100taxa_1000000len_ninit2_LGC10_aa,CPU_SPR_OMP104,LGC10,AA,1000000,True,144364.621,12618603.334,141820.836,12400609.606,,,False,-81489753.863,98970743.402,,98970743.402,97236878.499,,,,,,,,495087.613,515652.539,,,,,479.796,95.0,685.5609270224177,1.0,2543.7850000000035
output_more_tests_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_1000000_iqtree3_AA_INTEL_VANILA_OMP104_LG-I-G4_100taxa_1000000len_ninit2_MTEST_aa,CPU_SPR_OMP104,MTEST,AA,1000000,True,15701.153,1488815.833,10923.487,1079444.875,4690.253,401476.809,False,-78605196.573,10852319.277,,10852319.277,7615912.515,,3172653.573,,,,,,63011.246,515652.605,58489.0,,,,,,691.1797673075347,1.0,4690.253
output_more_tests_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_1000000_iqtree3_AA_INTEL_VANILA_OMP104_LG-I-G4_100taxa_1000000len_ninit2_UFBOOT1000_aa,CPU_SPR_OMP104,UFBOOT1000,AA,1000000,True,17110.439,1620976.9,10574.802,1044419.759,6440.337,568949.734,False,-78605196.573,11847301.044,,11847301.044,7376651.001,,4378620.763,,,,,,89879.512,515652.535,149834.0,,,,,,692.4019333460702,1.0,6440.337
output_more_tests_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_100000_iqtree3_AA_INTEL_VANILA_OMP104_LG-I-G4_100taxa_100000len_ninit2_LGC10_aa,CPU_SPR_OMP104,LGC10,AA,100000,True,10453.585,1030497.146,10247.177,1013327.824,,,False,-7816903.985,7286353.831,,7286353.831,7145717.05,,,,,,,,59749.695,515652.559,,,,,,,697.0196187241029,1.0,206.40799999999945
output_more_tests_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_100000_iqtree3_AA_INTEL_VANILA_OMP104_LG-I-G4_100taxa_100000len_ninit2_MTEST_aa,CPU_SPR_OMP104,MTEST,AA,100000,True,759.141,74353.228,505.622,51470.999,247.7,22329.793,False,-7541976.86,525947.867,,525947.867,353009.316,,168496.875,,,,,,6433.18,515652.535,5935.0,,,,,,692.8197357276184,1.0,247.7
output_more_tests_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_100000_iqtree3_AA_INTEL_VANILA_OMP104_LG-I-G4_100taxa_100000len_ninit2_UFBOOT1000_aa,CPU_SPR_OMP104,UFBOOT1000,AA,100000,True,913.134,89867.76,527.761,53512.532,376.154,35623.484,False,-7541976.86,635406.483,,635406.483,368336.493,,259438.783,,,,,,9167.977,515652.562,15204.0,,,,,,695.8523973480344,1.0,376.154
output_more_tests_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_1000_iqtree3_AA_INTEL_VANILA_OMP104_LG-I-G4_100taxa_1000len_ninit2_LGC10_aa,CPU_SPR_OMP104,LGC10,AA,1000,True,187.938,18836.445,182.177,18499.125,,,False,-80578.84,126867.741,,126867.741,123483.841,,,,,,,,681.379,515652.512,,,,,,,675.0510327874086,1.0,5.760999999999996
output_more_tests_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_1000_iqtree3_AA_INTEL_VANILA_OMP104_LG-I-G4_100taxa_1000len_ninit2_MTEST_aa,CPU_SPR_OMP104,MTEST,AA,1000,True,150.096,14308.063,111.048,11180.506,38.253,3048.793,False,-77823.964,94616.822,,94616.822,70986.448,,23056.943,,,,,,97.207,515652.531,62.0,,,,,,630.3753730945529,1.0,38.253
output_more_tests_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_1000_iqtree3_AA_INTEL_VANILA_OMP104_LG-I-G4_100taxa_1000len_ninit2_UFBOOT1000_aa,CPU_SPR_OMP104,UFBOOT1000,AA,1000,True,146.032,14335.286,118.805,11833.064,26.262,2406.972,False,-77823.964,94209.477,,94209.477,76385.328,,16979.926,,,,,,162.562,515652.512,158.0,,,,,,645.1289922756656,1.0,26.262
output_more_tests_AA_LG+I+G4_OMP_48_taxa100_run1_tree_1_10000000_iqtree3_AA_INTEL_VANILA_CLX_OMP48_LG-I-G4_100taxa_10000000len_ninit2_LGC10_aa,CPU_CLX_OMP48,LGC10,AA,10000000,False,,,,,,,False,,,,,,,,,,,,,,192512.0,,,,,502.482,266.0,,,
output_more_tests_AA_LG+I+G4_OMP_48_taxa100_run1_tree_1_10000000_iqtree3_AA_INTEL_VANILA_CLX_OMP48_LG-I-G4_100taxa_10000000len_ninit2_MTEST_aa,CPU_CLX_OMP48,MTEST,AA,10000000,False,,,,,,,False,,,,,,,,,,,,,,192512.0,,,,,,,,,
output_more_tests_AA_LG+I+G4_OMP_48_taxa100_run1_tree_1_10000000_iqtree3_AA_INTEL_VANILA_CLX_OMP48_LG-I-G4_100taxa_10000000len_ninit2_UFBOOT1000_aa,CPU_CLX_OMP48,UFBOOT1000,AA,10000000,False,,,,,,,False,,,,,,,,,,,,,,192512.0,,,,,,,,,
output_more_tests_AA_LG+I+G4_OMP_48_taxa100_run1_tree_1_1000000_iqtree3_AA_INTEL_VANILA_CLX_OMP48_LG-I-G4_100taxa_1000000len_ninit2_LGC10_aa,CPU_CLX_OMP48,LGC10,AA,1000000,False,,,,,,,False,,,,,,,,,,,,,,192512.0,,,,,182.78,96.0,,,
output_more_tests_AA_LG+I+G4_OMP_48_taxa100_run1_tree_1_1000000_iqtree3_AA_INTEL_VANILA_CLX_OMP48_LG-I-G4_100taxa_1000000len_ninit2_MTEST_aa,CPU_CLX_OMP48,MTEST,AA,1000000,True,33103.291,1453801.513,23930.538,1089295.482,9003.822,357193.254,False,-78605196.573,14185231.244,,14185231.244,10426972.049,,3684129.013,,,,,,62907.027,193084.609,58489.0,,,,,,428.5142297181269,1.0,9003.822
