run,hardware,test,datatype,sites,wall_s,speedup_vs_CLX,energy_J,energy_ratio_vs_CLX,best_logL
output_more_tests_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_10000000_iqtree3_AA_INTEL_VANILA_OMP104_LG-I-G4_100taxa_10000000len_ninit2_LGC10_aa,CPU_SPR_OMP104,LGC10,AA,10000000,,,,,
output_more_tests_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_10000000_iqtree3_AA_INTEL_VANILA_OMP104_LG-I-G4_100taxa_10000000len_ninit2_MTEST_aa,CPU_SPR_OMP104,MTEST,AA,10000000,,,,,
output_more_tests_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_10000000_iqtree3_AA_INTEL_VANILA_OMP104_LG-I-G4_100taxa_10000000len_ninit2_UFBOOT1000_aa,CPU_SPR_OMP104,UFBOOT1000,AA,10000000,,,,,
output_more_tests_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_1000000_iqtree3_AA_INTEL_VANILA_OMP104_LG-I-G4_100taxa_1000000len_ninit2_LGC10_aa,CPU_SPR_OMP104,LGC10,AA,1000000,144364.621,,98970743.402,,-81489753.863
output_more_tests_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_1000000_iqtree3_AA_INTEL_VANILA_OMP104_LG-I-G4_100taxa_1000000len_ninit2_MTEST_aa,CPU_SPR_OMP104,MTEST,AA,1000000,15701.153,2.108335037560617,10852319.277,0.7650435224022352,-78605196.573
output_more_tests_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_1000000_iqtree3_AA_INTEL_VANILA_OMP104_LG-I-G4_100taxa_1000000len_ninit2_UFBOOT1000_aa,CPU_SPR_OMP104,UFBOOT1000,AA,1000000,17110.439,2.3449800440538087,11847301.044,0.6967333682403034,-78605196.573
output_more_tests_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_100000_iqtree3_AA_INTEL_VANILA_OMP104_LG-I-G4_100taxa_100000len_ninit2_LGC10_aa,CPU_SPR_OMP104,LGC10,AA,100000,10453.585,1.9607281138480244,7286353.831,0.7826248488474353,-7816903.985
output_more_tests_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_100000_iqtree3_AA_INTEL_VANILA_OMP104_LG-I-G4_100taxa_100000len_ninit2_MTEST_aa,CPU_SPR_OMP104,MTEST,AA,100000,759.141,3.0007495313782293,525947.867,0.5045288151081452,-7541976.86
output_more_tests_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_100000_iqtree3_AA_INTEL_VANILA_OMP104_LG-I-G4_100taxa_100000len_ninit2_UFBOOT1000_aa,CPU_SPR_OMP104,UFBOOT1000,AA,100000,913.134,3.0311630056486782,635406.483,0.49729533850695057,-7541976.86
output_more_tests_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_1000_iqtree3_AA_INTEL_VANILA_OMP104_LG-I-G4_100taxa_1000len_ninit2_LGC10_aa,CPU_SPR_OMP104,LGC10,AA,1000,187.938,2.113457629643819,126867.741,0.8142859753305914,-80578.84
output_more_tests_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_1000_iqtree3_AA_INTEL_VANILA_OMP104_LG-I-G4_100taxa_1000len_ninit2_MTEST_aa,CPU_SPR_OMP104,MTEST,AA,1000,150.096,0.5208866325551648,94616.822,3.3558698927181525,-77823.964
output_more_tests_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_1000_iqtree3_AA_INTEL_VANILA_OMP104_LG-I-G4_100taxa_1000len_ninit2_UFBOOT1000_aa,CPU_SPR_OMP104,UFBOOT1000,AA,1000,146.032,1.3395351703736167,94209.477,1.4064585514468406,-77823.964
output_more_tests_AA_LG+I+G4_OMP_48_taxa100_run1_tree_1_10000000_iqtree3_AA_INTEL_VANILA_CLX_OMP48_LG-I-G4_100taxa_10000000len_ninit2_LGC10_aa,CPU_CLX_OMP48,LGC10,AA,10000000,,,,,
output_more_tests_AA_LG+I+G4_OMP_48_taxa100_run1_tree_1_10000000_iqtree3_AA_INTEL_VANILA_CLX_OMP48_LG-I-G4_100taxa_10000000len_ninit2_MTEST_aa,CPU_CLX_OMP48,MTEST,AA,10000000,,,,,
